@date,"@dlog(impu1,0,12)","@dlog(impu2,0,12)","@dlog(impu3,0,12)","@dlog(impu1(-1),0,12)","@dlog(impu2(-1),0,12)","@dlog(impu3(-1),0,12)","@dlog(impu1(-2),0,12)","@dlog(impu2(-2),0,12)","@dlog(impu3(-2),0,12)"
1995-01-01,,,,,,,,,
1995-02-01,,,,,,,,,
1995-03-01,,,,,,,,,
1995-04-01,,,,,,,,,
1995-05-01,,,,,,,,,
1995-06-01,,,,,,,,,
1995-07-01,,,,,,,,,
1995-08-01,,,,,,,,,
1995-09-01,,,,,,,,,
1995-10-01,,,,,,,,,
1995-11-01,,,,,,,,,
1995-12-01,,,,,,,,,
1996-01-01,-0.0589729277367627,-0.0589729277367627,-0.0502393054990459,,,,,,
1996-02-01,0.0353116977846568,0.0353116977846559,0.0324744516242923,-0.0589729277367627,-0.0589729277367627,-0.0502393054990459,,,
1996-03-01,0.0736442927428555,0.0736442927428555,0.0029776696939247,0.0353116977846568,0.0353116977846559,0.0324744516242923,-0.0589729277367627,-0.0589729277367627,-0.0502393054990459
1996-04-01,0.0788860615288715,0.0788860615288706,0.0203098896123954,0.0736442927428555,0.0736442927428555,0.0029776696939247,0.0353116977846568,0.0353116977846559,0.0324744516242923
1996-05-01,0.0945433353315969,0.0945433353315969,0.0064077380506626,0.0788860615288715,0.0788860615288706,0.0203098896123954,0.0736442927428555,0.0736442927428555,0.0029776696939247
1996-06-01,0.0804705135470591,0.0804705135470591,0.0041581645211206,0.0945433353315969,0.0945433353315969,0.0064077380506626,0.0788860615288715,0.0788860615288706,0.0203098896123954
1996-07-01,0.0656040435186238,0.0656040435186246,0.0215960258940164,0.0804705135470591,0.0804705135470591,0.0041581645211206,0.0945433353315969,0.0945433353315969,0.0064077380506626
1996-08-01,0.0590956764824337,0.0590956764824328,0.0232364992494948,0.0656040435186238,0.0656040435186246,0.0215960258940164,0.0804705135470591,0.0804705135470591,0.0041581645211206
1996-09-01,0.0702814589929054,0.0702814589929063,0.0087117415750075,0.0590956764824337,0.0590956764824328,0.0232364992494948,0.0656040435186238,0.0656040435186246,0.0215960258940164
1996-10-01,0.0648930966242637,0.0648930966242646,0.0254360906474904,0.0702814589929054,0.0702814589929063,0.0087117415750075,0.0590956764824337,0.0590956764824328,0.0232364992494948
1996-11-01,0.0672777547496163,0.0672777547496172,0.0545681800830504,0.0648930966242637,0.0648930966242646,0.0254360906474904,0.0702814589929054,0.0702814589929063,0.0087117415750075
1996-12-01,0.0611713407514749,0.0611713407514749,0.0567594465274723,0.0672777547496163,0.0672777547496172,0.0545681800830504,0.0648930966242637,0.0648930966242646,0.0254360906474904
1997-01-01,-0.2627058695265684,-0.2627058695265676,0.1562391235571736,0.0611713407514749,0.0611713407514749,0.0567594465274723,0.0672777547496163,0.0672777547496172,0.0545681800830504
1997-02-01,0.0733097208836106,0.0733097208836097,0.2220423614392102,-0.2627058695265684,-0.2627058695265676,0.1562391235571736,0.0611713407514749,0.0611713407514749,0.0567594465274723
1997-03-01,0.0827431163395164,0.0827431163395164,0.1721371074403936,0.0733097208836106,0.0733097208836097,0.2220423614392102,-0.2627058695265684,-0.2627058695265676,0.1562391235571736
1997-04-01,0.0652453186243313,0.0652453186243322,0.1182862861392708,0.0827431163395164,0.0827431163395164,0.1721371074403936,0.0733097208836106,0.0733097208836097,0.2220423614392102
1997-05-01,0.0736781191509408,0.073678119150939,0.1001030126970832,0.0652453186243313,0.0652453186243322,0.1182862861392708,0.0827431163395164,0.0827431163395164,0.1721371074403936
1997-06-01,0.0652036465116143,0.0652036465116152,0.0858618768306955,0.0736781191509408,0.073678119150939,0.1001030126970832,0.0652453186243313,0.0652453186243322,0.1182862861392708
1997-07-01,0.0682883592774565,0.0682883592774565,0.071608688218915,0.0652036465116143,0.0652036465116152,0.0858618768306955,0.0736781191509408,0.073678119150939,0.1001030126970832
1997-08-01,0.0713603629579306,0.0713603629579315,0.0813569752672531,0.0682883592774565,0.0682883592774565,0.071608688218915,0.0652036465116143,0.0652036465116152,0.0858618768306955
1997-09-01,0.071502265181067,0.071502265181067,0.0805023662382113,0.0713603629579306,0.0713603629579315,0.0813569752672531,0.0682883592774565,0.0682883592774565,0.071608688218915
1997-10-01,0.0781766103877181,0.0781766103877172,0.0636094958976007,0.071502265181067,0.071502265181067,0.0805023662382113,0.0713603629579306,0.0713603629579315,0.0813569752672531
1997-11-01,0.075311767910696,0.0753117679106942,0.0491055042639265,0.0781766103877181,0.0781766103877172,0.0636094958976007,0.071502265181067,0.071502265181067,0.0805023662382113
1997-12-01,0.0724395504916586,0.0724395504916586,0.0370669048807226,0.075311767910696,0.0753117679106942,0.0491055042639265,0.0781766103877181,0.0781766103877172,0.0636094958976007
1998-01-01,0.0950361459522195,0.0950361459522182,0.057098640289726,0.0724395504916586,0.0724395504916586,0.0370669048807226,0.075311767910696,0.0753117679106942,0.0491055042639265
1998-02-01,0.1208822666926128,0.1208822666926137,0.1227622356067277,0.0950361459522195,0.0950361459522182,0.057098640289726,0.0724395504916586,0.0724395504916586,0.0370669048807226
1998-03-01,0.1050652988061564,0.1050652988061564,-0.057076362117411,0.1208822666926128,0.1208822666926137,0.1227622356067277,0.0950361459522195,0.0950361459522182,0.057098640289726
1998-04-01,0.1159110110175412,0.115911011017542,-0.0389356002113867,0.1050652988061564,0.1050652988061564,-0.057076362117411,0.1208822666926128,0.1208822666926137,0.1227622356067277
