@date,"@dlog(ind1,0,12)","@dlog(ind2,0,12)","@dlog(ind3,0,12)","@dlog(ind4,0,12)","@dlog(ind5,0,12)","@dlog(ind6,0,12)",ind7,ind8,ind9,"@dlog(ind10,0,12)","@dlog(ind11,1,12)","@dlog(ind12,0,12)","@dlog(ind13,0,12)","@dlog(ind1(-1),0,12)","@dlog(ind2(-1),0,12)","@dlog(ind3(-1),0,12)","@dlog(ind4(-1),0,12)","@dlog(ind5(-1),0,12)","@dlog(ind6(-1),0,12)",ind7(-1),ind8(-1),ind9(-1),"@dlog(ind10(-1),0,12)","@dlog(ind11(-1),1,12)","@dlog(ind12(-1),0,12)","@dlog(ind13(-1),0,12)","@dlog(ind1(-2),0,12)","@dlog(ind2(-2),0,12)","@dlog(ind3(-2),0,12)","@dlog(ind4(-2),0,12)","@dlog(ind5(-2),0,12)","@dlog(ind6(-2),0,12)",ind7(-2),ind8(-2),ind9(-2),"@dlog(ind10(-2),0,12)","@dlog(ind11(-2),1,12)","@dlog(ind12(-2),0,12)","@dlog(ind13(-2),0,12)"
1996-06-01,0.0077010159937831,,-0.014548042852061,0.0336330293078663,-0.0081677222051039,,-14.5228072633333,-25.2,-1.77488594,0.0120488698874021,,,,-0.0065412058303113,,-0.0209771519056918,0.0069633666482999,-0.0149574311972724,,-15.44339747,-27.4,-6.16546709,0.0156736664789667,,,,-0.0246167279722255,,-0.0297906175172206,0.014286249356763,-0.0126469428110844,,-13.8194642966667,-25.8,-5.53489792,0.016920817713407,,,
1996-07-01,-0.0029088928947533,,-0.0130082480262538,0.038568389500746,-0.0082211766421167,,-7.420564286666671,-14.2,1.01525217,0.0096496387060325,,,,0.0077010159937831,,-0.014548042852061,0.0336330293078663,-0.0081677222051039,,-14.5228072633333,-25.2,-1.77488594,0.0120488698874021,,,,-0.0065412058303113,,-0.0209771519056918,0.0069633666482999,-0.0149574311972724,,-15.44339747,-27.4,-6.16546709,0.0156736664789667,,,
1996-08-01,0.000933226566735,,-0.0083982972960052,0.018465324816336,-0.0112380068297861,,-10.4668659566667,-23.3,-3.63265004,0.0084449686930359,,,,-0.0029088928947533,,-0.0130082480262538,0.038568389500746,-0.0082211766421167,,-7.420564286666671,-14.2,1.01525217,0.0096496387060325,,,,0.0077010159937831,,-0.014548042852061,0.0336330293078663,-0.0081677222051039,,-14.5228072633333,-25.2,-1.77488594,0.0120488698874021,,,
1996-09-01,0.0158104579993114,,-0.0008224097066582,0.0057264042737807,-0.0068170816084442,,-5.5403563,-13.4,2.31315971,0.0072243092118853,,,,0.000933226566735,,-0.0083982972960052,0.018465324816336,-0.0112380068297861,,-10.4668659566667,-23.3,-3.63265004,0.0084449686930359,,,,-0.0029088928947533,,-0.0130082480262538,0.038568389500746,-0.0082211766421167,,-7.420564286666671,-14.2,1.01525217,0.0096496387060325,,,
1996-10-01,0.0176515558014083,,0.0137272098041467,0.0413496327130484,-0.0065556059091838,,-7.55621548666667,-12.3,3.32706076,0.0120085712729975,,,,0.0158104579993114,,-0.0008224097066582,0.0057264042737807,-0.0068170816084442,,-5.5403563,-13.4,2.31315971,0.0072243092118853,,,,0.000933226566735,,-0.0083982972960052,0.018465324816336,-0.0112380068297861,,-10.4668659566667,-23.3,-3.63265004,0.0084449686930359,,,
1996-11-01,0.0180253055077432,,0.0090164709496072,0.0511023573313806,-0.0030431172187084,,-7.69395029,-15.2,4.62597461,0.0156172202030955,,,,0.0176515558014083,,0.0137272098041467,0.0413496327130484,-0.0065556059091838,,-7.55621548666667,-12.3,3.32706076,0.0120085712729975,,,,0.0158104579993114,,-0.0008224097066582,0.0057264042737807,-0.0068170816084442,,-5.5403563,-13.4,2.31315971,0.0072243092118853,,,
1996-12-01,0.0173595261397503,,0.0156606332696993,0.040237244330822,-0.0006301223100955,,-7.07194236666667,-16.9,1.75919372,0.0180238867199822,,,,0.0180253055077432,,0.0090164709496072,0.0511023573313806,-0.0030431172187084,,-7.69395029,-15.2,4.62597461,0.0156172202030955,,,,0.0176515558014083,,0.0137272098041467,0.0413496327130484,-0.0065556059091838,,-7.55621548666667,-12.3,3.32706076,0.0120085712729975,,,
1997-01-01,0.0330482360023811,,0.0391418455662293,0.0659469039285172,0.0035056291297177,,-6.0898271,-15.0,2.63390808,0.0083742480139497,,0.0377332719718577,0.0567706303848991,0.0173595261397503,,0.0156606332696993,0.040237244330822,-0.0006301223100955,,-7.07194236666667,-16.9,1.75919372,0.0180238867199822,,,,0.0180253055077432,,0.0090164709496072,0.0511023573313806,-0.0030431172187084,,-7.69395029,-15.2,4.62597461,0.0156172202030955,,,
1997-02-01,0.0365442122387769,,0.0115714231354759,-0.0786212183970373,0.0060200198448576,,-7.26340102,-12.7,3.50640201,0.0047699427366119,,0.0304213158845332,0.0587034135668602,0.0330482360023811,,0.0391418455662293,0.0659469039285172,0.0035056291297177,,-6.0898271,-15.0,2.63390808,0.0083742480139497,,0.0377332719718577,0.0567706303848991,0.0173595261397503,,0.0156606332696993,0.040237244330822,-0.0006301223100955,,-7.07194236666667,-16.9,1.75919372,0.0180238867199822,,,
1997-03-01,0.053197322289491,,0.0661771288792234,-0.0449136877572229,0.0100626201549083,,-3.39134319333333,-4.5,8.20363925,0.0071811398259553,,0.0732559833874493,0.1207806466909398,0.0365442122387769,,0.0115714231354759,-0.0786212183970373,0.0060200198448576,,-7.26340102,-12.7,3.50640201,0.0047699427366119,,0.0304213158845332,0.0587034135668602,0.0330482360023811,,0.0391418455662293,0.0659469039285172,0.0035056291297177,,-6.0898271,-15.0,2.63390808,0.0083742480139497,,0.0377332719718577,0.0567706303848991
