@date,"@dlog(cpu1,0,12)","@dlog(cpu2,0,12)","@dlog(cpu3,0,12)","@dlog(cpu4,0,12)","@dlog(cpu1(-1),0,12)","@dlog(cpu2(-1),0,12)","@dlog(cpu3(-1),0,12)","@dlog(cpu4(-1),0,12)","@dlog(cpu1(-2),0,12)","@dlog(cpu2(-2),0,12)","@dlog(cpu3(-2),0,12)","@dlog(cpu4(-2),0,12)"
1995-01-01,,,,,,,,,,,,
1995-02-01,,,,,,,,,,,,
1995-03-01,,,,,,,,,,,,
1995-04-01,,,,,,,,,,,,
1995-05-01,,,,,,,,,,,,
1995-06-01,,,,,,,,,,,,
1995-07-01,,,,,,,,,,,,
1995-08-01,,,,,,,,,,,,
1995-09-01,,,,,,,,,,,,
1995-10-01,,,,,,,,,,,,
1995-11-01,,,,,,,,,,,,
1995-12-01,,,,,,,,,,,,
1996-01-01,0.0298701599908675,-1.4113762922308144,-1.4113762922308144,,,,,,,,,
1996-02-01,0.0063195061103087,-0.1480854603241681,-0.1480854603241681,,0.0298701599908675,-1.4113762922308144,-1.4113762922308144,,,,,
1996-03-01,0.0498680264847912,-0.276526578279995,-0.2765265782799968,,0.0063195061103087,-0.1480854603241681,-0.1480854603241681,,0.0298701599908675,-1.4113762922308144,-1.4113762922308144,
1996-04-01,0.0499054267529555,-0.0811591554960884,-0.0811591554960866,,0.0498680264847912,-0.276526578279995,-0.2765265782799968,,0.0063195061103087,-0.1480854603241681,-0.1480854603241681,
1996-05-01,0.0519169664414995,-0.1007024653131551,-0.1007024653131551,,0.0499054267529555,-0.0811591554960884,-0.0811591554960866,,0.0498680264847912,-0.276526578279995,-0.2765265782799968,
1996-06-01,0.0498477807778421,-0.077994785597971,-0.077994785597971,,0.0519169664414995,-0.1007024653131551,-0.1007024653131551,,0.0499054267529555,-0.0811591554960884,-0.0811591554960866,
1996-07-01,0.0560386635511473,-0.0753939373550078,-0.075393937355006,,0.0498477807778421,-0.077994785597971,-0.077994785597971,,0.0519169664414995,-0.1007024653131551,-0.1007024653131551,
1996-08-01,0.0506147151112852,-0.073917784818624,-0.073917784818624,,0.0560386635511473,-0.0753939373550078,-0.075393937355006,,0.0498477807778421,-0.077994785597971,-0.077994785597971,
1996-09-01,0.052917864427286,-0.0971265932702269,-0.0971265932702252,,0.0506147151112852,-0.073917784818624,-0.073917784818624,,0.0560386635511473,-0.0753939373550078,-0.075393937355006,
1996-10-01,0.0513062337840377,-0.0743855639649133,-0.0743855639649133,,0.052917864427286,-0.0971265932702269,-0.0971265932702252,,0.0506147151112852,-0.073917784818624,-0.073917784818624,
1996-11-01,0.0615714927488362,-0.0294995097456176,-0.0294995097456194,,0.0513062337840377,-0.0743855639649133,-0.0743855639649133,,0.052917864427286,-0.0971265932702269,-0.0971265932702252,
1996-12-01,0.0569464400824912,-0.013840191086178,-0.013840191086178,,0.0615714927488362,-0.0294995097456176,-0.0294995097456194,,0.0513062337840377,-0.0743855639649133,-0.0743855639649133,
1997-01-01,0.0316777594385264,1.7568063664176954,1.7568063664176954,,0.0569464400824912,-0.013840191086178,-0.013840191086178,,0.0615714927488362,-0.0294995097456176,-0.0294995097456194,
1997-02-01,0.0223795243852862,0.5241404665834288,0.5241404665834288,,0.0316777594385264,1.7568063664176954,1.7568063664176954,,0.0569464400824912,-0.013840191086178,-0.013840191086178,
1997-03-01,-0.0374104368915855,0.3883394469498746,0.3883394469498764,,0.0223795243852862,0.5241404665834288,0.5241404665834288,,0.0316777594385264,1.7568063664176954,1.7568063664176954,
1997-04-01,-0.0114318618824587,0.2156677981507648,0.215667798150763,,-0.0374104368915855,0.3883394469498746,0.3883394469498764,,0.0223795243852862,0.5241404665834288,0.5241404665834288,
1997-05-01,0.0071993918044572,0.1636998240071108,0.1636998240071108,,-0.0114318618824587,0.2156677981507648,0.215667798150763,,-0.0374104368915855,0.3883394469498746,0.3883394469498764,
1997-06-01,0.0129064275866408,0.1478892595393421,0.1478892595393421,,0.0071993918044572,0.1636998240071108,0.1636998240071108,,-0.0114318618824587,0.2156677981507648,0.215667798150763,
1997-07-01,-0.0006898327672058,0.1249435390040716,0.1249435390040698,,0.0129064275866408,0.1478892595393421,0.1478892595393421,,0.0071993918044572,0.1636998240071108,0.1636998240071108,
1997-08-01,0.0037113462416797,0.07508836438911,0.0750883643891118,,-0.0006898327672058,0.1249435390040716,0.1249435390040698,,0.0129064275866408,0.1478892595393421,0.1478892595393421,
1997-09-01,0.0014444228103869,0.1014047373403332,0.1014047373403315,,0.0037113462416797,0.07508836438911,0.0750883643891118,,-0.0006898327672058,0.1249435390040716,0.1249435390040698,
1997-10-01,0.0035409436265023,0.066126998764389,0.066126998764389,,0.0014444228103869,0.1014047373403332,0.1014047373403315,,0.0037113462416797,0.07508836438911,0.0750883643891118,
1997-11-01,-0.0063667312544115,0.025345115093696,0.0253451150936978,,0.0035409436265023,0.066126998764389,0.066126998764389,,0.0014444228103869,0.1014047373403332,0.1014047373403315,
1997-12-01,0.0046769563012034,-0.0211688275851749,-0.0211688275851749,,-0.0063667312544115,0.025345115093696,0.0253451150936978,,0.0035409436265023,0.066126998764389,0.066126998764389,
1998-01-01,0.0075897238473565,-0.3568180976144468,-0.3568180976144468,,0.0046769563012034,-0.0211688275851749,-0.0211688275851749,,-0.0063667312544115,0.025345115093696,0.0253451150936978,
1998-02-01,-0.003046692889109,-0.0918008556558831,-0.0918008556558831,,0.0075897238473565,-0.3568180976144468,-0.3568180976144468,,0.0046769563012034,-0.0211688275851749,-0.0211688275851749,
