_date_,FIND1F,FIND2F,FIND3F,FIND4F,FIND5F,FIND6F
2008-12-01,-12.246655,-1.915475,0.64605,-3.019743,-2.563543,-0.23481
2009-01-01,-14.562581,-1.442831,0.283432,-1.040069,-2.864266,0.537038
2009-02-01,-16.537751,-1.151922,-0.027505,-1.40878,-0.685186,2.280963
2009-03-01,-17.74795,-0.900724,-0.159571,-1.064244,-0.329409,2.621742
2009-04-01,-18.382164,-0.648406,0.041452,-0.007014,-0.133504,2.326521
2009-05-01,-17.951253,-0.042274,0.13593,0.8274,-0.750394,1.743223
2009-06-01,-16.801904,1.177952,0.245688,1.700728,-0.058533,2.19806
2009-07-01,-15.751119,1.989613,0.102316,0.61139,0.749828,2.629862
2009-08-01,-14.116126,2.205368,0.277325,-0.866031,1.248791,2.3631
2009-09-01,-13.193201,1.877696,0.043345,-0.641331,-0.248075,1.045246
2009-10-01,-11.456684,2.018662,0.344144,1.03352,-1.489237,0.343518
2009-11-01,-9.997076,2.659241,1.020483,1.658042,0.286082,0.601584
2009-12-01,-7.896097,3.142397,1.938712,1.142206,1.429754,0.170577
2010-01-01,-6.30948,3.250767,2.776798,-0.490129,2.216852,-0.608133
2010-02-01,-4.785694,3.457928,3.087571,-0.049736,-0.637187,-2.82132
2010-03-01,-3.226235,4.506398,3.422292,0.92889,-0.560908,-2.213024
2010-04-01,-2.072055,4.229943,3.26001,-1.465107,1.144187,-1.280988
2010-05-01,-0.911347,3.403292,3.022035,-2.35703,0.513596,-1.677222
2010-06-01,-0.745098,2.132777,2.57635,-1.777275,-0.3108,-2.349503
2010-07-01,-0.296442,1.560449,2.267134,-1.778758,-1.166409,-2.819516
2010-08-01,-0.875016,1.095562,1.660864,-1.388506,-0.921465,-2.180266
2010-09-01,-1.065452,1.112399,1.589486,-0.586963,-1.160454,-1.912673
2010-10-01,-1.183263,1.25038,1.656702,-0.028614,-0.251209,-1.289199
2010-11-01,-0.732579,1.652455,1.952272,-0.109144,-0.223558,-1.27943
2010-12-01,-0.545741,1.526149,1.83976,-0.357527,-0.183253,-0.758141
2011-01-01,0.058372,2.125576,2.136526,-0.035674,-0.764651,-1.029505
2011-02-01,0.156284,1.934172,2.386565,-0.909521,0.442105,-0.469946
2011-03-01,0.115699,1.304698,2.357096,-2.32059,-0.485451,-1.412855
2011-04-01,-0.27082,0.749603,2.254026,-0.992544,-1.101961,-1.715546
2011-05-01,-0.754279,0.333203,1.983322,-0.893237,-0.599719,-1.39355
2011-06-01,-0.98415,0.006377,1.786323,-0.770017,-0.389533,-1.427861
2011-07-01,-1.3515,0.254083,1.747035,-0.320793,-0.037051,-0.789818
2011-08-01,-1.257002,0.347466,1.769903,-0.340988,-0.455018,-0.851897
2011-09-01,-1.53425,0.353537,1.854376,-0.492603,-0.288843,-0.760413
2011-10-01,-2.051867,0.248503,1.91864,-0.815189,0.151797,-0.653468
2011-11-01,-3.153287,-0.3881,1.961606,-0.699575,0.23868,-1.188956
