_date_,FCP1F,FCP2F,FCP3F,FCP4F,FCP5F,FCP6F,FCP7F
2008-10-01,-8.555145,4.076212,0.501465,0.200768,-1.345436,2.167319,-0.57682
2008-11-01,-9.702695,3.246481,0.542038,0.784655,-1.192756,1.54806,-0.568402
2008-12-01,-11.365003,2.446001,-0.208688,1.497781,-1.143004,1.195212,-0.414665
2009-01-01,-12.956567,1.340797,-0.35298,0.800691,-0.968515,0.947063,-0.410746
2009-02-01,-14.18184,0.479235,-0.132237,0.323333,-0.822459,0.477256,-0.665807
2009-03-01,-14.571722,-0.468631,-0.140848,0.633312,-0.236277,0.525977,-0.556673
2009-04-01,-14.63307,-1.197744,0.201976,0.480641,1.080137,0.48086,-0.495231
2009-05-01,-13.831324,-2.481189,0.758204,0.260795,1.773585,0.676449,-0.330556
2009-06-01,-12.242246,-3.484559,1.784653,0.012491,2.250645,0.953271,-0.245807
2009-07-01,-10.94832,-4.41045,1.886081,1.165451,1.873267,0.973947,-0.401802
2009-08-01,-9.458414,-4.850702,2.389865,1.310307,1.903915,0.822973,0.481402
2009-09-01,-8.375511,-5.128479,3.154643,0.959721,1.686015,0.276185,0.102435
2009-10-01,-6.989909,-4.649502,3.108398,1.652691,1.278513,-0.247603,0.264691
2009-11-01,-5.787579,-4.220742,3.577197,1.374453,1.400479,-0.585028,0.863614
2009-12-01,-4.402775,-3.720819,3.916218,0.881205,1.354521,-0.647384,0.350799
2010-01-01,-3.015417,-3.065974,3.898782,1.560383,1.269872,-0.288491,0.424066
2010-02-01,-2.218622,-2.754613,3.686897,1.521437,0.555938,0.345105,0.301783
2010-03-01,-0.332311,-2.720374,5.262124,0.087115,0.563993,1.286902,1.319674
2010-04-01,0.212033,-1.999963,4.571747,2.066778,-1.170346,0.386408,-0.044134
2010-05-01,0.86629,-1.032254,3.943257,2.866542,-1.053044,0.681292,2.24395
2010-06-01,-0.18416,-0.761548,3.994761,1.167558,-1.27717,-0.452777,0.950196
2010-07-01,-0.50877,0.23815,2.912017,2.688085,-1.546622,-0.273313,1.081254
2010-08-01,-1.51584,0.551423,1.922536,2.336189,-0.916653,0.295865,1.508092
2010-09-01,-2.525697,0.820157,1.211619,1.536444,-0.241015,1.084691,1.412781
2010-10-01,-2.723937,0.952261,1.093474,1.053223,0.28875,1.420155,1.308987
2010-11-01,-3.009275,1.129489,1.103772,0.731497,0.248126,1.891982,0.484701
2010-12-01,-2.926472,1.554081,1.302886,1.04517,0.106094,2.261172,0.853843
2011-01-01,-2.906229,1.775939,1.477691,0.770033,0.093136,1.93318,1.394528
2011-02-01,-2.739951,2.119474,1.434172,0.860813,0.628321,1.114628,1.677402
2011-03-01,-3.657167,2.60783,0.424348,1.564363,0.144536,0.060095,0.877043
2011-04-01,-3.776487,2.656961,0.951189,0.115333,0.988929,0.266197,1.094545
2011-05-01,-4.017648,2.530488,1.3431,-0.243715,0.897603,-0.023291,-0.672693
2011-06-01,-3.797664,2.578703,0.711109,1.711972,1.358655,0.689281,-0.855226
2011-07-01,-3.933041,1.972278,1.225631,0.251707,1.996264,0.719646,-0.398792
2011-08-01,-3.726189,1.698152,2.055914,-0.082039,1.430323,0.47003,-1.168308
