_date_,FEXP1F,FEXP2F,FEXP3F,FEXP4F,FEXP5F
2012-11-01,-0.561512,-0.288965,-0.358087,0.503823,-0.292959
2012-12-01,-0.598419,-0.380273,-0.041039,0.222902,-0.408349
2013-01-01,-0.699053,-0.036341,-0.451111,-0.1754,-0.485799
2013-02-01,-0.548502,0.033689,-0.145441,0.245405,-0.502678
2013-03-01,-0.349582,0.096891,0.009501,0.261146,-0.538315
2013-04-01,0.079058,0.879125,0.322341,-0.574123,-0.59734
2013-05-01,0.433477,0.697522,0.536837,0.61828,-0.472488
2013-06-01,0.613584,0.320608,1.161245,0.494507,-0.572639
2013-07-01,0.092079,-0.220557,0.354117,0.746826,-0.722733
2013-08-01,-0.120947,-0.308479,0.151206,0.222697,-0.91873
2013-09-01,-0.192326,0.206137,-0.19149,-0.211982,-1.006708
2013-10-01,0.042471,0.099017,-0.023073,0.445005,-0.676948
2013-11-01,0.116484,-0.287289,-0.047814,0.384814,-0.12808
2013-12-01,0.148859,-0.119832,-0.449247,-0.402248,0.008089
2014-01-01,0.329392,0.105574,-0.362483,-0.250419,0.062357
2014-02-01,0.568828,0.147847,0.15691,-0.171615,0.100509
2014-03-01,0.389257,-0.229832,0.142414,0.178476,0.501343
2014-04-01,0.173081,-0.457588,-0.217781,0.068467,0.332973
2014-05-01,-0.03452,-0.354587,-0.592566,-0.257536,0.372776
2014-06-01,-0.058029,-0.381498,-0.558042,-0.354242,0.130701
2014-07-01,0.244269,0.42532,-0.002054,-0.905495,0.210189
2014-08-01,0.333646,0.220695,0.027052,0.391152,0.429845
2014-09-01,0.673742,0.364081,0.736181,-0.607279,0.347256
2014-10-01,0.568185,0.52413,0.285694,-0.159628,0.275661
2014-11-01,0.755303,0.398217,0.994489,-0.022154,0.142966
2014-12-01,0.598781,0.487307,0.858799,-0.149827,-0.120451
2015-01-01,0.278673,-0.130655,0.604935,0.672537,-0.127686
2015-02-01,0.140905,-0.060731,0.341035,-0.302472,-0.236407
2015-03-01,0.366849,0.954539,0.261481,-0.940635,-0.605615
2015-04-01,0.806061,0.847239,1.080624,0.216875,-0.313246
2015-05-01,0.833568,0.262752,1.384404,0.469014,-0.307508
2015-06-01,0.622305,0.501959,0.834701,-0.447274,-0.183368
2015-07-01,0.710758,0.721939,0.724997,-0.279308,-0.210095
2015-08-01,0.641205,0.121392,0.893299,0.527163,0.233314
2015-09-01,0.435873,0.061095,0.616171,-0.31173,0.138099
2015-10-01,0.246739,0.141407,-0.009349,-0.062838,0.235001
2015-11-01,0.501147,0.343456,0.352913,-0.458893,-0.019098
2015-12-01,0.606158,0.385782,0.290112,-0.087386,-0.050852
