_date_,FSER1F,FSER2F,FSER3F,FSER4F,FSER5F,FSER6F
2011-12-01,-2.785892,-3.165193,-1.189856,-0.144201,-1.175801,-0.001162
2012-01-01,-2.884973,-3.311753,-0.626192,0.163974,-1.200261,-0.233655
2012-02-01,-2.805117,-3.364416,-0.837864,-0.338311,-0.700863,-0.483855
2012-03-01,-2.856341,-3.096063,-0.890519,-0.647298,-0.746573,-0.301938
2012-04-01,-3.426491,-3.054372,-1.068056,-0.716919,-0.642908,-0.690545
2012-05-01,-3.86635,-3.303687,-1.2008,-0.725565,-0.698371,-0.590241
2012-06-01,-3.957634,-3.478095,-0.651354,-0.392057,-0.944713,-0.458432
2012-07-01,-3.854875,-3.661085,-0.690106,-0.479909,-0.897026,-0.75585
2012-08-01,-3.59012,-3.608886,-0.649332,-0.756746,-1.090304,-0.573061
2012-09-01,-4.135293,-4.309902,-1.154637,-0.731118,-0.741054,-0.702534
2012-10-01,-4.144508,-4.29836,-1.228788,-0.124985,-0.860671,-0.062766
2012-11-01,-4.343627,-4.583479,-0.866805,0.360387,-0.609086,-0.182515
2012-12-01,-4.125092,-4.279034,-1.032913,0.16093,-0.231026,-0.205642
2013-01-01,-4.224818,-4.372351,-0.963031,0.009182,-0.212919,-0.094707
2013-02-01,-4.228862,-4.363589,-0.78762,0.121391,-0.271669,-0.035572
2013-03-01,-4.108707,-4.4262,-1.029662,0.269855,-0.435078,-0.378013
2013-04-01,-3.684571,-4.281981,-0.446275,0.090012,-0.780258,0.339728
2013-05-01,-2.936471,-4.11736,0.12918,0.026893,-0.650882,0.006131
2013-06-01,-2.158547,-3.473642,-0.043797,-0.811967,-0.041846,0.077806
2013-07-01,-1.812484,-2.745328,-0.278479,-0.668235,-0.290893,-0.062567
2013-08-01,-1.588285,-2.187109,0.014523,-0.526862,-0.099668,-0.112199
2013-09-01,-1.180567,-1.756203,0.536929,-0.745418,-0.223356,-0.183808
2013-10-01,-0.726549,-1.563084,0.883862,-1.52181,-0.274941,-0.229181
2013-11-01,-0.331181,-1.37332,0.997902,-2.263698,-0.430684,-0.459081
2013-12-01,-0.029637,-1.140823,1.053711,-2.462792,-0.735302,-0.553748
2014-01-01,0.330018,-0.712254,1.100955,-2.525429,-0.88365,-0.673164
2014-02-01,0.526163,-0.412137,1.088278,-2.692248,-0.946094,-0.524355
2014-03-01,0.734792,0.033327,1.394608,-2.865507,-0.764841,-0.134667
2014-04-01,1.011832,0.084418,1.478845,-2.638279,-0.513411,-0.394322
2014-05-01,1.135385,0.526222,1.111063,-2.713478,-0.272386,-0.25396
2014-06-01,1.209775,0.895154,0.988372,-2.334112,-0.670996,-0.207429
2014-07-01,1.177922,1.006027,1.380139,-2.444761,-0.436027,0.010625
2014-08-01,1.377843,1.080665,1.307399,-2.439011,-0.548409,-0.096655
2014-09-01,1.542288,1.060272,1.334569,-2.53918,-0.606672,-0.013173
2014-10-01,1.595163,1.182122,1.241597,-2.475555,-0.687809,-0.360041
2014-11-01,1.654995,1.447871,1.229226,-2.663779,-0.587805,-0.029367
2014-12-01,1.787322,1.667629,1.366082,-2.533883,-0.520792,0.005326
2015-01-01,1.894255,2.024452,1.22215,-2.408386,-0.188343,0.082965
2015-02-01,2.013471,2.301415,1.182739,-2.150663,-0.335558,0.102168
2015-03-01,2.094768,2.23194,1.437212,-2.056578,-0.365283,0.128632
2015-04-01,2.300477,2.409974,1.37223,-2.265751,-0.236349,-0.004067
2015-05-01,2.485475,2.504012,1.304037,-2.200161,-0.319738,0.16856
2015-06-01,2.431723,2.600293,1.180934,-2.033665,-0.179454,0.018017
2015-07-01,2.555294,2.568921,1.165917,-1.725556,-0.294877,0.100116
2015-08-01,2.555441,2.570321,1.322646,-1.710248,-0.024029,0.019852
2015-09-01,2.655428,2.702581,1.033013,-1.704044,0.112508,-0.040311
2015-10-01,2.601491,2.735414,1.009678,-1.70085,0.179182,0.246
2015-11-01,2.548854,2.618885,1.017035,-1.303896,-0.030743,0.156077
2015-12-01,2.586329,2.618588,1.054752,-1.305063,0.105437,0.059178
2016-01-01,2.423302,2.571267,0.667302,-1.317274,0.160616,-0.462252
2016-02-01,2.272054,2.458198,0.557246,-1.056,-0.182332,-0.209465
2016-03-01,2.067353,2.281938,0.372255,-0.577151,-0.451445,-0.751276
2016-04-01,2.022638,2.273947,0.394903,-0.651974,-0.531393,-0.36955
2016-05-01,1.987141,2.310826,0.67088,-0.737295,-0.548368,-0.667273
2016-06-01,2.138359,2.347568,0.808459,-1.127756,-0.395918,-0.599314
2016-07-01,2.278523,2.624718,0.637627,-1.086346,-0.498883,-0.754693
2016-08-01,2.184811,2.731793,0.419143,-0.934187,-0.436097,-0.560665
2016-09-01,2.100444,2.64092,0.642465,-0.630257,-0.555749,-0.392547
2016-10-01,2.095386,2.396294,0.755102,-0.688328,-0.363091,-0.64014
2016-11-01,2.26684,2.608383,0.668516,-0.853593,-0.3258,-0.543595
2016-12-01,2.493455,2.878737,0.934269,-0.78811,-0.367902,-0.248083
2017-01-01,2.719279,2.91762,1.082178,-0.879652,-0.184016,-0.092224
2017-02-01,2.813717,2.959331,0.90812,-1.090792,-0.079876,0.070153
2017-03-01,2.703252,2.755607,1.089644,-1.26578,-0.001205,0.463663
2017-04-01,2.888405,2.839668,1.06067,-0.900509,0.211315,-0.080006
2017-05-01,2.979016,3.038345,0.696238,-0.736033,0.302359,0.09249
2017-06-01,3.127282,3.356087,0.719927,-0.160089,-0.030053,0.222219
2017-07-01,2.990003,3.227239,0.839814,-0.399346,0.57671,0.152544
2017-08-01,3.003875,3.363182,0.725646,-0.606444,0.700037,0.327185
2017-09-01,3.01546,3.445865,0.938287,-0.625099,0.654912,0.508663
2017-10-01,2.988544,3.570558,0.845937,-0.649751,0.581517,0.3204
2017-11-01,2.936589,3.323365,0.856314,-0.719197,0.511927,0.619686
2017-12-01,2.66383,3.082208,0.849237,-0.882503,0.580116,0.282958
2018-01-01,2.576995,2.890973,0.852684,-0.905287,0.432468,0.381413
2018-02-01,2.472774,2.925118,0.928574,-0.728584,0.402159,-0.046541
2018-03-01,2.603731,3.158474,0.667642,-0.552721,0.330917,-0.348769
2018-04-01,2.391398,3.280963,0.685427,-0.538022,0.132684,-0.15439
2018-05-01,2.373246,3.302706,0.882011,-0.459706,0.132333,-0.219092
2018-06-01,2.285465,3.153382,0.825012,-0.70274,0.501063,-0.377251
2018-07-01,2.257699,3.355552,0.551276,-0.517413,0.214241,-0.298982
2018-08-01,2.053493,3.353353,0.577058,-0.392637,-0.114746,-0.690131
2018-09-01,1.829927,3.092539,0.553529,-0.474219,-0.27289,-0.834467
2018-10-01,1.850129,2.870572,0.750362,-0.338033,-0.408066,-0.685427
2018-11-01,1.785155,2.69059,0.618318,-0.312308,-0.24148,-1.025117
2018-12-01,1.759547,2.518077,0.422648,-0.351919,-0.24732,-0.805166
2019-01-01,1.555025,2.291391,0.535596,-0.324911,-0.322564,-0.764298
2019-02-01,1.559681,2.187918,0.576713,-0.509363,-0.283486,-0.627566
2019-03-01,1.503644,2.061038,0.682045,-0.613247,-0.276659,-0.594728
2019-04-01,1.55729,2.0986,0.482813,-0.513237,-0.364065,-0.993244
2019-05-01,1.484461,2.164988,0.249582,-0.514312,-0.487551,-1.000403
2019-06-01,1.329804,2.273201,0.12677,-0.214104,-0.779741,-0.960337
2019-07-01,1.223165,2.18135,0.341095,-0.266733,-0.730368,-0.817693
2019-08-01,1.246981,2.100995,0.420309,-0.182171,-0.519997,-0.826082
2019-09-01,1.230032,2.133241,0.396733,-0.314606,-0.359585,-0.827078
2019-10-01,1.02943,1.971905,0.342085,-0.335947,-0.306127,-0.820467
2019-11-01,0.827956,1.64899,0.343875,-0.338817,-0.30537,-0.796376
2019-12-01,0.717389,1.499634,0.230245,-0.137242,-0.405953,-0.95938
2020-01-01,0.620234,1.457994,0.050361,-0.046093,-0.471757,-1.086503
2020-02-01,0.611344,1.339724,0.16563,0.087792,-0.515499,-0.927103
2020-03-01,-3.523795,2.968039,-4.929136,-2.000799,1.845665,-3.257217
2020-04-01,-16.829137,7.668247,-16.85356,-6.14779,3.475445,-4.649542
2020-05-01,-30.952327,10.6827,-10.494044,-2.450253,-4.956561,4.971523
2020-06-01,-35.019943,7.149135,7.347696,4.576838,-5.470031,1.009576
2020-07-01,-25.467163,2.382153,11.360816,2.632642,0.323662,-3.855385
2020-08-01,-16.798656,-0.17202,5.291947,-0.576791,1.198424,-4.138527
2020-09-01,-13.726975,0.066099,0.283413,-2.398797,-0.199518,-1.639406
2020-10-01,-14.173995,1.003591,0.350586,-2.501494,-0.281801,-0.320116
2020-11-01,-14.992608,1.935591,1.281434,-2.636736,0.691649,-0.139677
2020-12-01,-14.482704,2.273258,2.582048,-2.53022,0.563024,0.237552
2021-01-01,-14.712512,2.649724,1.877738,-2.907391,1.673336,-1.060598
2021-02-01,-15.043908,3.444827,1.004146,-3.121154,1.208259,-0.192271
2021-03-01,-11.50755,1.356932,7.923384,-0.218821,-1.306007,2.104866
2021-04-01,1.163227,-5.634692,19.263316,3.026041,-2.267052,3.770972
2021-05-01,15.560054,-11.087712,13.098024,-0.638734,4.825811,-4.615861
2021-06-01,21.281494,-9.332374,-2.882329,-7.381675,5.057941,-1.47587
2021-07-01,15.549853,-3.586299,-7.168654,-5.635291,-0.672252,1.853683
2021-08-01,9.754739,-0.052567,-2.641739,-2.967696,-2.145003,2.049595
2021-09-01,8.120054,0.03797,1.416265,-0.862396,-1.742046,0.279866
2021-10-01,9.641256,-0.814,1.281355,-0.213153,-2.026429,-1.088069
2021-11-01,11.66001,-1.293153,0.426456,0.333251,-2.89228,-0.926426
2021-12-01,11.82513,-1.294256,-1.3951,0.219214,-2.691055,-1.330098
2022-01-01,11.803291,-1.409281,-1.594597,0.1526,-3.465582,0.193937
2022-02-01,11.917589,-2.188448,-0.038398,0.822547,-3.672662,-0.037048
2022-03-01,12.546992,-2.045202,-1.597447,0.68268,-3.461735,-0.939128
2022-04-01,13.046646,-1.840393,-2.292748,1.601812,-4.428485,-0.292555
2022-05-01,12.342948,-1.249885,-2.444784,2.292225,-3.889376,-0.60956
2022-06-01,11.295115,-0.132828,-3.708567,2.242764,-3.302594,0.18643
2022-07-01,8.836412,0.781727,-3.454765,2.37032,-2.659353,0.358029
2022-08-01,6.642772,1.311709,-2.654458,3.062228,-2.173052,-0.13699
2022-09-01,5.167284,1.041665,-1.886244,3.355471,-1.832918,-0.724455
2022-10-01,4.153413,0.812336,-1.764039,3.288201,-1.589306,-0.940697
2022-11-01,3.363339,0.740267,-1.84525,3.110808,-1.562635,-1.060829
2022-12-01,2.873594,0.683944,-1.431541,3.410482,-1.53484,-1.143656
2023-01-01,3.323825,0.387169,-0.467199,4.0694,-1.852949,-1.218573
2023-02-01,3.505904,0.305184,-1.121085,3.774738,-0.934903,-1.9791
2023-03-01,3.704143,0.513521,-1.210722,3.247763,-0.777183,-0.591807
2023-04-01,2.973093,0.855737,-1.027852,3.191166,0.165404,-1.123627
2023-05-01,2.598871,1.338621,-1.523493,2.988645,0.33827,-0.904348
2023-06-01,1.954068,1.734229,-1.080393,3.545795,-0.09479,-1.516721
2023-07-01,1.856649,1.954385,-0.744468,3.735901,0.10392,-1.589172
2023-08-01,1.863068,2.107775,-0.787737,3.779892,0.359177,-1.741779
2023-09-01,1.863632,2.15418,-0.770507,3.760321,0.695657,-1.257481
2023-10-01,1.840479,2.01364,-0.592202,3.678662,0.835523,-1.078141
2023-11-01,1.980098,1.854567,-0.313792,3.137619,1.183667,-0.452104
2023-12-01,2.179885,1.713927,-0.191258,2.645885,1.218614,-0.236431
2024-01-01,2.345235,1.836311,-0.174336,2.098338,1.444341,0.123231
2024-02-01,2.383941,1.863969,-0.261425,2.120122,1.361511,0.147032
2024-03-01,2.238386,2.08717,-0.539041,2.008459,1.571221,-0.103063
2024-04-01,2.013027,1.933661,-0.320092,1.992333,1.188332,0.596978
2024-05-01,1.925886,1.822196,0.056207,1.890352,1.295815,0.387007
