_date_	fexp1	fexp2	fexp3	fexp4	fexp5
2008-11-01	-1.8984146119272184	-2.1957669180726924	-0.92291888127459792	-1.7869597589677158	0.63690315823144904
2008-12-01	-3.2131301673809024	-2.4759523691550976	-2.6318700520028084	-0.30786590133021096	0.13335007683845882
2009-01-01	-4.4386752711809672	-3.3938722102759204	-4.3154896131336928	-1.5861647486612062	0.30125215956424924
2009-02-01	-5.3342684434980744	-4.2257238704547248	-4.896487492836156	-0.96688711306593952	0.1160713859438441
2009-03-01	-5.855945587416152	-3.2611961862219316	-5.9521922008240328	0.59016826063123832	0.041746710179740784
2009-04-01	-5.67629611298204	-3.2251526493407668	-6.176771906342424	-1.1202684938108036	0.14974966893239116
2009-05-01	-5.29822261214416	-3.4723972563460472	-5.3676460850838656	-0.47388056914888424	0.042519293127958016
2009-06-01	-4.9767714056551912	-2.4526124044720096	-5.3183672669434136	0.72902309875206432	-0.83051778929731616
2009-07-01	-4.3866041263929424	-2.0671921373489584	-4.4467626070622208	-0.65648315687300592	-0.29648586748389012
2009-08-01	-3.8738885315783904	-2.1925743490769936	-3.6007281590943228	-0.478616375485332	-0.093903781379883808
2009-09-01	-3.8178838110482504	-2.3117553184778324	-4.1014876608659616	-0.36832389993804576	0.75507969368190064
2009-10-01	-3.2193249763116444	-1.5036891429912044	-3.6015216868998668	0.73889810660814944	0.79378143771871744
2009-11-01	-2.2780603969828288	-0.34468661700561648	-2.9425265133141908	0.98690775940366288	1.0310501379432206
2009-12-01	-0.83039845112877936	0.62665544086251016	-1.2277668503258922	0.97127451066997648	1.4036688039719014
2010-01-01	0.25520310761057464	1.1205447953056998	0.11864199351086624	0.56245824440043024	1.6469276079704744
2010-02-01	1.159421060012755	1.5064001635808064	1.3369120439144882	0.73817058279371664	1.6917310671749822
2010-03-01	1.9401704649113296	2.3051853939049768	2.0805572209017308	0.9780116048141712	1.4729231461121884
2010-04-01	2.1937625667320636	1.7522097037136472	2.7359118966324292	-0.10808630353541454	2.323085227038402
2010-05-01	2.5311312620588936	1.9982174471029736	3.1039458489440408	1.1406157934559864	2.2109304895897924
2010-06-01	2.3110985095458436	2.0752523398402256	2.44883756023326	0.042309642424412336	2.097695084020256
2010-07-01	2.4216837634631956	1.3172372515862168	2.8532928624864496	-0.042952118801064904	1.1856202515623478
2010-08-01	2.1548575343279732	1.6081546167348674	2.4066223435316948	0.570920664489016	0.52270358728627384
2010-09-01	1.9767504821198264	1.3110417817264242	2.2637692484096452	-0.3411365317260008	0.14894095646648656
2010-10-01	1.926612603536394	1.1073144383886838	2.3963186184668916	-0.01626151916025163	-0.1366539998251645
2010-11-01	1.859738624953788	1.6544763272515594	2.2025875391594644	0.5587002459594608	-0.44341893621821776
2010-12-01	1.8347809346966968	1.3672800418923614	2.523172113188986	-0.29407948451695316	-0.21635718768255964
2011-01-01	2.1528852664131724	2.0446358249526716	3.041199136747408	0.70427956890466744	-0.48136398046329296
2011-02-01	2.0944965662493608	1.9914224413653188	2.6457978823856916	-0.5655701296087692	-0.37335745053801248
2011-03-01	2.0993514511532408	1.0129389867225458	3.0187581610807272	-0.63073005578088992	-0.33816584791671844
