@date,"@dlog(cp1,0,12)","@dlog(cp2,0,12)","@dlog(cp3,0,12)","@dlog(cp5,0,12)","@dlog(cp6,0,12)","@dlog(cp7,0,12)","@dlog(cp8,0,12)","@dlog(cp9,0,12)","@dlog(cp10,0,12)","@dlog(cp12,0,12)","@dlog(cp13,0,12)","@dlog(cp14,0,12)",cp16,"@dlog(cp17,0,12)",cp18,"@dlog(cp19,0,12)","@dlog(cp20,0,12)","@dlog(cp21,0,12)","@dlog(cp1(-1),0,12)","@dlog(cp2(-1),0,12)","@dlog(cp3(-1),0,12)","@dlog(cp5(-1),0,12)","@dlog(cp6(-1),0,12)","@dlog(cp7(-1),0,12)","@dlog(cp8(-1),0,12)","@dlog(cp9(-1),0,12)","@dlog(cp10(-1),0,12)","@dlog(cp12(-1),0,12)","@dlog(cp13(-1),0,12)","@dlog(cp14(-1),0,12)",cp16(-1),"@dlog(cp17(-1),0,12)",cp18(-1),"@dlog(cp19(-1),0,12)","@dlog(cp20(-1),0,12)","@dlog(cp21(-1),0,12)","@dlog(cp1(-2),0,12)","@dlog(cp2(-2),0,12)","@dlog(cp3(-2),0,12)","@dlog(cp5(-2),0,12)","@dlog(cp6(-2),0,12)","@dlog(cp7(-2),0,12)","@dlog(cp8(-2),0,12)","@dlog(cp9(-2),0,12)","@dlog(cp10(-2),0,12)","@dlog(cp12(-2),0,12)","@dlog(cp13(-2),0,12)","@dlog(cp14(-2),0,12)",cp16(-2),"@dlog(cp17(-2),0,12)",cp18(-2),"@dlog(cp19(-2),0,12)","@dlog(cp20(-2),0,12)","@dlog(cp21(-2),0,12)"
1996-05-01,0.0183767913751573,,,,0.0368894047811334,,,,-0.0351052450350177,,0.0123606012974217,,-49.4,,-10.2,0.010166795921032,,,0.0095363736436322,,,,0.0325094113841846,,,,-0.0648269285821072,,0.0126595698182843,,-38.1,,-10.9,0.0064877040134003,,,0.0214587356336668,,,,0.0318218310717366,,,,-0.049047051776327,,0.0111968133625062,,-47.5,,-9.7,0.0170533515739554,,
1996-06-01,0.0018943347752058,,,,-0.2377432150555094,,,,-0.0259047928837379,,0.0160094262584635,,-42.8,,-10.0,0.0142868502977462,,,0.0183767913751573,,,,0.0368894047811334,,,,-0.0351052450350177,,0.0123606012974217,,-49.4,,-10.2,0.010166795921032,,,0.0095363736436322,,,,0.0325094113841846,,,,-0.0648269285821072,,0.0126595698182843,,-38.1,,-10.9,0.0064877040134003,,
1996-07-01,0.0487734585484043,,,,0.3244585899877616,,,,-0.0155986690932818,,0.0165130578799637,,-37.2,,-13.1,0.0126289195424629,,,0.0018943347752058,,,,-0.2377432150555094,,,,-0.0259047928837379,,0.0160094262584635,,-42.8,,-10.0,0.0142868502977462,,,0.0183767913751573,,,,0.0368894047811334,,,,-0.0351052450350177,,0.0123606012974217,,-49.4,,-10.2,0.010166795921032,,
1996-08-01,0.0150282333463271,,,,0.0079070736635458,,,,-0.0052365603887709,,0.0164914740842796,,-40.7,,-11.9,0.0169238392369486,,,0.0487734585484043,,,,0.3244585899877616,,,,-0.0155986690932818,,0.0165130578799637,,-37.2,,-13.1,0.0126289195424629,,,0.0018943347752058,,,,-0.2377432150555094,,,,-0.0259047928837379,,0.0160094262584635,,-42.8,,-10.0,0.0142868502977462,,
1996-09-01,0.0239410273859732,,,,0.1715332214862641,,,,-0.0270167235157536,,0.0165956152188151,,-39.5,,-12.9,0.0169225277370639,,,0.0150282333463271,,,,0.0079070736635458,,,,-0.0052365603887709,,0.0164914740842796,,-40.7,,-11.9,0.0169238392369486,,,0.0487734585484043,,,,0.3244585899877616,,,,-0.0155986690932818,,0.0165130578799637,,-37.2,,-13.1,0.0126289195424629,,
1996-10-01,0.0375872113502886,,,,0.2667388986065368,,,,-0.0076880647447339,,0.0204444726079504,,-37.3,,-10.7,0.0226272671264764,,,0.0239410273859732,,,,0.1715332214862641,,,,-0.0270167235157536,,0.0165956152188151,,-39.5,,-12.9,0.0169225277370639,,,0.0150282333463271,,,,0.0079070736635458,,,,-0.0052365603887709,,0.0164914740842796,,-40.7,,-11.9,0.0169238392369486,,
1996-11-01,0.0258324311346793,,,,0.1129466728899011,,,,-0.0306677744352477,,0.0213129674534684,,-33.6,,-10.9,0.0253300162838501,,,0.0375872113502886,,,,0.2667388986065368,,,,-0.0076880647447339,,0.0204444726079504,,-37.3,,-10.7,0.0226272671264764,,,0.0239410273859732,,,,0.1715332214862641,,,,-0.0270167235157536,,0.0165956152188151,,-39.5,,-12.9,0.0169225277370639,,
1996-12-01,0.0326803662789547,,,,0.1451462958150724,,,,-0.0193151087900034,,0.0194227083443294,,-19.5,,-8.3,0.0224302706573968,,,0.0258324311346793,,,,0.1129466728899011,,,,-0.0306677744352477,,0.0213129674534684,,-33.6,,-10.9,0.0253300162838501,,,0.0375872113502886,,,,0.2667388986065368,,,,-0.0076880647447339,,0.0204444726079504,,-37.3,,-10.7,0.0226272671264764,,
1997-01-01,0.0394051162987585,,,,0.1913208243068176,,,,0.0493461150649494,,0.0217786946951257,-0.0739333311154526,-17.6,,-4.9,0.0261750419411876,,,0.0326803662789547,,,,0.1451462958150724,,,,-0.0193151087900034,,0.0194227083443294,,-19.5,,-8.3,0.0224302706573968,,,0.0258324311346793,,,,0.1129466728899011,,,,-0.0306677744352477,,0.0213129674534684,,-33.6,,-10.9,0.0253300162838501,,
1997-02-01,0.0301092301450527,,,,0.0075801204025971,,,,0.0513748571297352,,0.0240967184481224,-0.071714936133139,-27.6,,-7.5,0.0237654835380469,,,0.0394051162987585,,,,0.1913208243068176,,,,0.0493461150649494,,0.0217786946951257,-0.0739333311154526,-17.6,,-4.9,0.0261750419411876,,,0.0326803662789547,,,,0.1451462958150724,,,,-0.0193151087900034,,0.0194227083443294,,-19.5,,-8.3,0.0224302706573968,,
1997-03-01,0.0494286951889391,,,,0.0178174921246672,,,,0.0998187643507693,,0.0288670348380453,-0.0762186530088095,-18.7,,-7.0,0.0308231546135511,,,0.0301092301450527,,,,0.0075801204025971,,,,0.0513748571297352,,0.0240967184481224,-0.071714936133139,-27.6,,-7.5,0.0237654835380469,,,0.0394051162987585,,,,0.1913208243068176,,,,0.0493461150649494,,0.0217786946951257,-0.0739333311154526,-17.6,,-4.9,0.0261750419411876,,
1997-04-01,0.0500435698842434,,,,0.1826948557428718,,,,0.0905279663350961,,0.0325417048238882,-0.0688505965700763,-27.8,,-5.9,0.0278643690235531,,,0.0494286951889391,,,,0.0178174921246672,,,,0.0998187643507693,,0.0288670348380453,-0.0762186530088095,-18.7,,-7.0,0.0308231546135511,,,0.0301092301450527,,,,0.0075801204025971,,,,0.0513748571297352,,0.0240967184481224,-0.071714936133139,-27.6,,-7.5,0.0237654835380469,,
1997-05-01,0.0443213634850279,,,,0.0907467297098136,,,,0.0526197538332464,,0.0328225010343725,-0.0640977411859129,-20.1,,-6.3,0.0330004302821338,,,0.0500435698842434,,,,0.1826948557428718,,,,0.0905279663350961,,0.0325417048238882,-0.0688505965700763,-27.8,,-5.9,0.0278643690235531,,,0.0494286951889391,,,,0.0178174921246672,,,,0.0998187643507693,,0.0288670348380453,-0.0762186530088095,-18.7,,-7.0,0.0308231546135511,,
1997-06-01,0.0481330451563568,,,,0.1630042659665029,,,,0.0474276691899282,,0.0332916148948303,-0.062566153262618,-21.1,,-2.5,0.0265569126461215,,,0.0443213634850279,,,,0.0907467297098136,,,,0.0526197538332464,,0.0328225010343725,-0.0640977411859129,-20.1,,-6.3,0.0330004302821338,,,0.0500435698842434,,,,0.1826948557428718,,,,0.0905279663350961,,0.0325417048238882,-0.0688505965700763,-27.8,,-5.9,0.0278643690235531,,
1997-07-01,0.0655758011142415,,,,0.143043122448752,,,,0.0534138984051271,,0.0340959827763018,-0.0737197818718717,-24.4,,-3.4,0.0320339220732401,,,0.0481330451563568,,,,0.1630042659665029,,,,0.0474276691899282,,0.0332916148948303,-0.062566153262618,-21.1,,-2.5,0.0265569126461215,,,0.0443213634850279,,,,0.0907467297098136,,,,0.0526197538332464,,0.0328225010343725,-0.0640977411859129,-20.1,,-6.3,0.0330004302821338,,
1997-08-01,0.0613434487188362,,,,0.1459607121294368,,,,0.0420183872701649,,0.034703954503664,-0.0720087622567531,-25.1,,-1.3,0.0326665191676323,,,0.0655758011142415,,,,0.143043122448752,,,,0.0534138984051271,,0.0340959827763018,-0.0737197818718717,-24.4,,-3.4,0.0320339220732401,,,0.0481330451563568,,,,0.1630042659665029,,,,0.0474276691899282,,0.0332916148948303,-0.062566153262618,-21.1,,-2.5,0.0265569126461215,,
1997-09-01,0.0491559095023434,,,,0.0759365660899416,,,,0.0571780967482959,,0.038138329810657,-0.0700968752358015,-22.6,,-3.9,0.0313475051680374,,,0.0613434487188362,,,,0.1459607121294368,,,,0.0420183872701649,,0.034703954503664,-0.0720087622567531,-25.1,,-1.3,0.0326665191676323,,,0.0655758011142415,,,,0.143043122448752,,,,0.0534138984051271,,0.0340959827763018,-0.0737197818718717,-24.4,,-3.4,0.0320339220732401,,
1997-10-01,0.0584196584727507,,,,0.1153751365878434,,,,0.068023379359297,,0.0404366997578922,-0.0743472812231633,-23.2,,-4.4,0.031292049389247,,,0.0491559095023434,,,,0.0759365660899416,,,,0.0571780967482959,,0.038138329810657,-0.0700968752358015,-22.6,,-3.9,0.0313475051680374,,,0.0613434487188362,,,,0.1459607121294368,,,,0.0420183872701649,,0.034703954503664,-0.0720087622567531,-25.1,,-1.3,0.0326665191676323,,
1997-11-01,0.0636145485872852,,,,0.0989050953622498,,,,0.0674196014991697,,0.0416831813363316,-0.072478779871429,-24.4,,-3.1,0.0331609957139047,,,0.0584196584727507,,,,0.1153751365878434,,,,0.068023379359297,,0.0404366997578922,-0.0743472812231633,-23.2,,-4.4,0.031292049389247,,,0.0491559095023434,,,,0.0759365660899416,,,,0.0571780967482959,,0.038138329810657,-0.0700968752358015,-22.6,,-3.9,0.0313475051680374,,
1997-12-01,0.0553968847148924,,,,0.0993762265976609,,,,0.0608317553256236,,0.038713111506647,-0.0678267411459732,-21.1,,-2.8,0.0344271829280797,,,0.0636145485872852,,,,0.0989050953622498,,,,0.0674196014991697,,0.0416831813363316,-0.072478779871429,-24.4,,-3.1,0.0331609957139047,,,0.0584196584727507,,,,0.1153751365878434,,,,0.068023379359297,,0.0404366997578922,-0.0743472812231633,-23.2,,-4.4,0.031292049389247,,
1998-01-01,0.0572660608474624,,,,0.0669866394650586,,,,0.0700560773105358,,0.0436365268540797,-0.0765700277071594,-13.0,,-2.2,0.0369294021587833,,,0.0553968847148924,,,,0.0993762265976609,,,,0.0608317553256236,,0.038713111506647,-0.0678267411459732,-21.1,,-2.8,0.0344271829280797,,,0.0636145485872852,,,,0.0989050953622498,,,,0.0674196014991697,,0.0416831813363316,-0.072478779871429,-24.4,,-3.1,0.0331609957139047,,
1998-02-01,0.0642384006734006,,,,0.1709951114317363,,,,0.0818573257149699,,0.0461754368482942,-0.0877985957818667,-8.3,,-1.8,0.0387612039384359,,,0.0572660608474624,,,,0.0669866394650586,,,,0.0700560773105358,,0.0436365268540797,-0.0765700277071594,-13.0,,-2.2,0.0369294021587833,,,0.0553968847148924,,,,0.0993762265976609,,,,0.0608317553256236,,0.038713111506647,-0.0678267411459732,-21.1,,-2.8,0.0344271829280797,,
1998-03-01,0.044869527891886,,,,0.1404581675047449,,,,0.0148802566553998,,0.0477160947752448,-0.0863189173242551,-16.3,,-1.7,0.0288248267078419,,,0.0642384006734006,,,,0.1709951114317363,,,,0.0818573257149699,,0.0461754368482942,-0.0877985957818667,-8.3,,-1.8,0.0387612039384359,,,0.0572660608474624,,,,0.0669866394650586,,,,0.0700560773105358,,0.0436365268540797,-0.0765700277071594,-13.0,,-2.2,0.0369294021587833,,
