@date,"@dlog(ser1,0,12)","@dlog(ser2,0,12)","@dlog(ser3,0,12)","@dlog(ser4,0,12)","@dlog(ser5,0,12)","@dlog(ser6,0,12)","@dlog(ser7,0,12)","@dlog(ser8,0,12)","@dlog(ser9,0,12)","@dlog(ser10,0,12)","@dlog(ser11,0,12)","@dlog(ser12,0,12)","@dlog(ser13,0,12)","@dlog(ser14,0,12)","@dlog(ser15,0,12)","@dlog(ser16,0,12)",ser17,"@dlog(ser18,0,12)",ser19,ser20,ser21,"@dlog(ser22,0,12)","@dlog(ser23,0,12)","@dlog(ser1(-1),0,12)","@dlog(ser2(-1),0,12)","@dlog(ser3(-1),0,12)","@dlog(ser4(-1),0,12)","@dlog(ser5(-1),0,12)","@dlog(ser6(-1),0,12)","@dlog(ser7(-1),0,12)","@dlog(ser8(-1),0,12)","@dlog(ser9(-1),0,12)","@dlog(ser10(-1),0,12)","@dlog(ser11(-1),0,12)","@dlog(ser12(-1),0,12)","@dlog(ser13(-1),0,12)","@dlog(ser14(-1),0,12)","@dlog(ser15(-1),0,12)","@dlog(ser16(-1),0,12)",ser17(-1),"@dlog(ser18(-1),0,12)",ser19(-1),ser20(-1),ser21(-1),"@dlog(ser22(-1),0,12)","@dlog(ser23(-1),0,12)","@dlog(ser1(-2),0,12)","@dlog(ser2(-2),0,12)","@dlog(ser3(-2),0,12)","@dlog(ser4(-2),0,12)","@dlog(ser5(-2),0,12)","@dlog(ser6(-2),0,12)","@dlog(ser7(-2),0,12)","@dlog(ser8(-2),0,12)","@dlog(ser9(-2),0,12)","@dlog(ser10(-2),0,12)","@dlog(ser11(-2),0,12)","@dlog(ser12(-2),0,12)","@dlog(ser13(-2),0,12)","@dlog(ser14(-2),0,12)","@dlog(ser15(-2),0,12)","@dlog(ser16(-2),0,12)",ser17(-2),"@dlog(ser18(-2),0,12)",ser19(-2),ser20(-2),ser21(-2),"@dlog(ser22(-2),0,12)","@dlog(ser23(-2),0,12)"
1996-08-01,0.0137661791494645,,,,,,,0.0673078025876616,0.0660859505560349,,,,0.0184653248163355,0.0320801129506964,,,,,,,,,,0.0163266155195316,,,,,,,0.0369986626324863,0.0116532472270751,,,,0.0385683895007469,0.0306359776538744,,,,,,,,,,0.0043625730778407,,,,,,,0.0630563106177346,0.0258699209976054,,,,0.0336330293078654,0.0322537967247633,,,,,,,,,
1996-09-01,0.0161831491150552,,,,,,,0.0455716472175211,0.0354300964641147,,,,0.0057264042737816,0.0294358555073372,,,,,,,,,,0.0137661791494645,,,,,,,0.0673078025876616,0.0660859505560349,,,,0.0184653248163355,0.0320801129506964,,,,,,,,,,0.0163266155195316,,,,,,,0.0369986626324863,0.0116532472270751,,,,0.0385683895007469,0.0306359776538744,,,,,,,,,
1996-10-01,0.0133251184616396,,,,,,,0.0854634499148456,0.0457035699684542,,,,0.0413496327130493,0.0359294614205634,,,27.2,,27.7,35.7,18.2,,,0.0161831491150552,,,,,,,0.0455716472175211,0.0354300964641147,,,,0.0057264042737816,0.0294358555073372,,,,,,,,,,0.0137661791494645,,,,,,,0.0673078025876616,0.0660859505560349,,,,0.0184653248163355,0.0320801129506964,,,,,,,,,
1996-11-01,0.0192422060220742,,,,,,,0.1670596124618137,0.1422133575325705,,,,0.0511023573313806,0.0368962104139729,,,27.6,,27.6,36.9,18.2,,,0.0133251184616396,,,,,,,0.0854634499148456,0.0457035699684542,,,,0.0413496327130493,0.0359294614205634,,,27.2,,27.7,35.7,18.2,,,0.0161831491150552,,,,,,,0.0455716472175211,0.0354300964641147,,,,0.0057264042737816,0.0294358555073372,,,,,,,,,
1996-12-01,0.0125338303052959,,,,,,,-0.1810440886586572,0.0732052444855817,,,,0.0402372443308225,0.0355667159829593,,,28.3,,28.8,30.7,25.2,,,0.0192422060220742,,,,,,,0.1670596124618137,0.1422133575325705,,,,0.0511023573313806,0.0368962104139729,,,27.6,,27.6,36.9,18.2,,,0.0133251184616396,,,,,,,0.0854634499148456,0.0457035699684542,,,,0.0413496327130493,0.0359294614205634,,,27.2,,27.7,35.7,18.2,,
1997-01-01,0.0290617777723918,,,,,-0.0135043338092319,,0.0970039911562539,0.0786954912901549,,,,0.0659469039285172,0.0356514821426756,,,35.5,,30.0,47.1,29.2,0.0346370202455998,0.0648466111308909,0.0125338303052959,,,,,,,-0.1810440886586572,0.0732052444855817,,,,0.0402372443308225,0.0355667159829593,,,28.3,,28.8,30.7,25.2,,,0.0192422060220742,,,,,,,0.1670596124618137,0.1422133575325705,,,,0.0511023573313806,0.0368962104139729,,,27.6,,27.6,36.9,18.2,,
1997-02-01,0.0232325108542035,,,,,-0.0394125112139018,,0.091294775634279,0.0691264368312367,,,,-0.0786212183970373,0.0374988952712875,,,29.8,,27.5,41.0,20.9,0.0116990120646445,0.0730479645686656,0.0290617777723918,,,,,-0.0135043338092319,,0.0970039911562539,0.0786954912901549,,,,0.0659469039285172,0.0356514821426756,,,35.5,,30.0,47.1,29.2,0.0346370202455998,0.0648466111308909,0.0125338303052959,,,,,,,-0.1810440886586572,0.0732052444855817,,,,0.0402372443308225,0.0355667159829593,,,28.3,,28.8,30.7,25.2,,
1997-03-01,0.0338205658962689,,,,,-0.0820748698314641,,0.2410895817087013,0.1175418631866112,,,,-0.0449136877572229,0.0433025980254839,,,42.6,,36.9,45.1,45.8,0.0505268157089702,0.1325497949139586,0.0232325108542035,,,,,-0.0394125112139018,,0.091294775634279,0.0691264368312367,,,,-0.0786212183970373,0.0374988952712875,,,29.8,,27.5,41.0,20.9,0.0116990120646445,0.0730479645686656,0.0290617777723918,,,,,-0.0135043338092319,,0.0970039911562539,0.0786954912901549,,,,0.0659469039285172,0.0356514821426756,,,35.5,,30.0,47.1,29.2,0.0346370202455998,0.0648466111308909
1997-04-01,0.0252612494247674,,,,,0.0988469301643739,,0.0088642686627569,0.0607415192359628,,,,0.0758493122525241,0.0448372609492153,,,31.3,,29.6,40.0,24.1,0.0715778395415593,0.0962184675934025,0.0338205658962689,,,,,-0.0820748698314641,,0.2410895817087013,0.1175418631866112,,,,-0.0449136877572229,0.0433025980254839,,,42.6,,36.9,45.1,45.8,0.0505268157089702,0.1325497949139586,0.0232325108542035,,,,,-0.0394125112139018,,0.091294775634279,0.0691264368312367,,,,-0.0786212183970373,0.0374988952712875,,,29.8,,27.5,41.0,20.9,0.0116990120646445,0.0730479645686656
1997-05-01,0.031973422042105,,,,,-0.0276787554621513,,0.1343633844825706,0.0989931173368034,,,,0.0456232498316957,0.0455476723609962,,,39.6,,38.8,28.5,51.3,0.0427748000900241,0.0805117041353104,0.0252612494247674,,,,,0.0988469301643739,,0.0088642686627569,0.0607415192359628,,,,0.0758493122525241,0.0448372609492153,,,31.3,,29.6,40.0,24.1,0.0715778395415593,0.0962184675934025,0.0338205658962689,,,,,-0.0820748698314641,,0.2410895817087013,0.1175418631866112,,,,-0.0449136877572229,0.0433025980254839,,,42.6,,36.9,45.1,45.8,0.0505268157089702,0.1325497949139586
