@date,"@dlog(ag1,0,12)","@dlog(ag2,0,12)","@dlog(ag3,0,12)","@dlog(ag4,0,12)","@dlog(ag5,0,12)","@dlog(ag6,0,12)","@dlog(ag7,0,12)","@dlog(ag8,0,12)","@dlog(ag1(-1),0,12)","@dlog(ag2(-1),0,12)","@dlog(ag3(-1),0,12)","@dlog(ag4(-1),0,12)","@dlog(ag5(-1),0,12)","@dlog(ag6(-1),0,12)","@dlog(ag7(-1),0,12)","@dlog(ag8(-1),0,12)","@dlog(ag1(-2),0,12)","@dlog(ag2(-2),0,12)","@dlog(ag3(-2),0,12)","@dlog(ag4(-2),0,12)","@dlog(ag5(-2),0,12)","@dlog(ag6(-2),0,12)","@dlog(ag7(-2),0,12)","@dlog(ag8(-2),0,12)"
1995-01-01,,,,,,,,,,,,,,,,,,,,,,,,
1995-02-01,,,,,,,,,,,,,,,,,,,,,,,,
1995-03-01,,,,,,,,,,,,,,,,,,,,,,,,
1995-04-01,,,,,,,,,,,,,,,,,,,,,,,,
1995-05-01,,,,,,,,,,,,,,,,,,,,,,,,
1995-06-01,,,,,,,,,,,,,,,,,,,,,,,,
1995-07-01,,,,,,,,,,,,,,,,,,,,,,,,
1995-08-01,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-01,,,,,,,,,,,,,,,,,,,,,,,,
1995-10-01,,,,,,,,,,,,,,,,,,,,,,,,
1995-11-01,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-01,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-01,-0.0425059757822765,0.081374719059374,,,,,,,,,,,,,,,,,,,,,,
1996-02-01,0.3225310516241357,0.0923826839091126,,,,,,,-0.0425059757822765,0.081374719059374,,,,,,,,,,,,,,
1996-03-01,0.1817690051755232,0.1067883430947209,,,,,,,0.3225310516241357,0.0923826839091126,,,,,,,-0.0425059757822765,0.081374719059374,,,,,,
1996-04-01,0.2854766495486664,0.1138399981137459,,,,,,,0.1817690051755232,0.1067883430947209,,,,,,,0.3225310516241357,0.0923826839091126,,,,,,
1996-05-01,0.0620814740246,0.1349588064660256,,,,,,,0.2854766495486664,0.1138399981137459,,,,,,,0.1817690051755232,0.1067883430947209,,,,,,
1996-06-01,0.1090820832549797,0.1490936110885292,,,,,,,0.0620814740246,0.1349588064660256,,,,,,,0.2854766495486664,0.1138399981137459,,,,,,
1996-07-01,0.2176791467569483,0.1568241822583496,,,,,,,0.1090820832549797,0.1490936110885292,,,,,,,0.0620814740246,0.1349588064660256,,,,,,
1996-08-01,0.081806788930435,0.1510027188973639,,,,,,,0.2176791467569483,0.1568241822583496,,,,,,,0.1090820832549797,0.1490936110885292,,,,,,
1996-09-01,0.1994454430968151,0.145843630379197,,,,,,,0.081806788930435,0.1510027188973639,,,,,,,0.2176791467569483,0.1568241822583496,,,,,,
1996-10-01,0.3268093549665538,0.1500414870771256,,,,,,,0.1994454430968151,0.145843630379197,,,,,,,0.081806788930435,0.1510027188973639,,,,,,
1996-11-01,0.1173996969145934,0.1518202999727313,,,,,,,0.3268093549665538,0.1500414870771256,,,,,,,0.1994454430968151,0.145843630379197,,,,,,
1996-12-01,-0.1035087074684586,0.1429401066187843,,,,,,,0.1173996969145934,0.1518202999727313,,,,,,,0.3268093549665538,0.1500414870771256,,,,,,
1997-01-01,0.2381512917691157,0.0690283675143583,,,,,0.0502570370418897,0.211380597440761,-0.1035087074684586,0.1429401066187843,,,,,,,0.1173996969145934,0.1518202999727313,,,,,,
1997-02-01,0.0329416254798289,0.0639214948217858,,,,,0.0267468627512279,0.1753896403396826,0.2381512917691157,0.0690283675143583,,,,,0.0502570370418897,0.211380597440761,-0.1035087074684586,0.1429401066187843,,,,,,
1997-03-01,-0.1070639439989182,0.0636958188708152,,,,,0.0585943492855012,0.2117846728625201,0.0329416254798289,0.0639214948217858,,,,,0.0267468627512279,0.1753896403396826,0.2381512917691157,0.0690283675143583,,,,,0.0502570370418897,0.211380597440761
1997-04-01,0.0365336091719852,0.0617784113376189,,,,,0.0661708279829102,0.2414853115526485,-0.1070639439989182,0.0636958188708152,,,,,0.0585943492855012,0.2117846728625201,0.0329416254798289,0.0639214948217858,,,,,0.0267468627512279,0.1753896403396826
1997-05-01,0.0377788541822576,0.0545035700177987,,,,,0.0586254744179921,0.0688301313517634,0.0365336091719852,0.0617784113376189,,,,,0.0661708279829102,0.2414853115526485,-0.1070639439989182,0.0636958188708152,,,,,0.0585943492855012,0.2117846728625201
1997-06-01,0.0026665109114132,0.04520425944875,,,,,-0.0194565822905969,0.1648401123419702,0.0377788541822576,0.0545035700177987,,,,,0.0586254744179921,0.0688301313517634,0.0365336091719852,0.0617784113376189,,,,,0.0661708279829102,0.2414853115526485
1997-07-01,-0.0061289468918026,0.0792221617878414,,,,,-0.0139890865770047,-0.102663587799662,0.0026665109114132,0.04520425944875,,,,,-0.0194565822905969,0.1648401123419702,0.0377788541822576,0.0545035700177987,,,,,0.0586254744179921,0.0688301313517634
1997-08-01,0.0578673209828801,0.0861304048551696,,,,,-0.0995522711481102,0.0705293773640187,-0.0061289468918026,0.0792221617878414,,,,,-0.0139890865770047,-0.102663587799662,0.0026665109114132,0.04520425944875,,,,,-0.0194565822905969,0.1648401123419702
1997-09-01,0.1154582379322937,0.0847944017695829,,,,,-0.0547131755293639,0.1222839115222758,0.0578673209828801,0.0861304048551696,,,,,-0.0995522711481102,0.0705293773640187,-0.0061289468918026,0.0792221617878414,,,,,-0.0139890865770047,-0.102663587799662
