_date_	fexp1f	fexp2f	fexp3f	fexp4f	fexp5f	fexp1f_h	fexp2f_h	fexp3f_h	fexp4f_h	fexp5f_h
2017-01-01	1.17444612643837	0.87539723828382736	0.87933852092217344	0.848954733697772	0.29051801788988528	1.053104123417624	0.67686827419828224	0.66679321139381968	0.36522062791501336	0.42245287102756344
2017-02-01	1.1688471400944966	0.7916388405718648	0.87447780653264448	-0.21906445291201	0.19829186978880476	1.1933944520047692	0.77987549055711856	1.031002874904117	0.12546153512206628	0.28292399386404364
2017-03-01	1.4123336568366484	0.91639177024680448	1.7965987068355944	0.32790044721808032	0.2443070204846946	1.2392626900372516	0.73802147078349904	1.217935990475893	-0.016937692808133568	0.2973110922092218
2017-04-01	1.0054261891587688	0.33231340677349476	0.71880077132532064	-0.87961941371202416	0.51455239822862976	1.169451333087163	0.58055466618216664	1.0160476419395304	-0.11584556056440284	0.43361354797252392
2017-05-01	1.1572140843745038	0.49421789533130968	0.90699985840740432	0.67595930798576832	0.60925048663318672	1.135773843525993	0.51509382752116928	0.79245562948511344	0.11970756719065572	0.60682667133884864
2017-06-01	1.0561402663029998	0.6635733612814856	0.196330696410329	0.26061718556892312	0.67430013041677584	1.1260185397968378	0.50101644615988376	0.61703088268851672	0.216917472646818	0.81288462274920096
2017-07-01	1.2432207420425648	0.30566386612782216	0.9441732255279584	-0.077973345285563056	1.159979048426022	1.1494139811913042	0.47682408126782664	0.67418856004790536	0.25923167878897252	1.0501453779389238
2017-08-01	1.0771629226120074	0.49445354202219696	0.70085547188179568	0.6277143114539904	1.256957740425897	1.1453104535071612	0.54357520713611688	0.72764363378325808	0.37379742152411288	1.1783824203109354
2017-09-01	1.1173590210712602	0.74403362148123072	0.64624185027829792	0.38368078699497376	1.1767106709916796	1.1468650033934392	0.63116808291586904	0.8110957415946056	0.35055691268469736	1.1672029037552516
2017-10-01	1.1957296845891534	0.69560868254490264	1.0741498954874142	0.2301499218499238	1.0937642869233	1.1190871466040148	0.62037930264427808	0.9314563592805168	0.23336925403306148	1.0647893022768508
2017-11-01	1.0669821969400052	0.5013045611702972	0.98181472935611488	0.06787651243489784	0.84779835670609456	0.99748041657058624	0.50485099892390016	0.9307830713232528	0.099217421641817408	0.92883185711713952
2017-12-01	0.74987204557676432	0.26289583540804644	0.84890985670866368	-0.12179980668305232	0.8226307194670888	0.7941908847099904	0.35345468425791644	0.79382699841197248	0.021865059400439672	0.84599579416397392
2018-01-01	0.56765542525376944	0.26954072557548912	0.53442249615312144	0.22817089852582744	0.79982474857845136	0.59086640280848376	0.23151543339590516	0.5563709192686976	0.04373490199148324	0.82191283889416576
2018-02-01	0.38619135217026792	0.19358863646497404	0.30034190264457772	-0.050268154101464664	0.839684957043032	0.42483598351909728	0.11379947223757476	0.30928047091214104	0.063584818014011088	0.83884964208764096
2018-03-01	0.32347504146924248	-0.19696323488356608	0.015576125236930762	-0.069550018998424056	0.92214739626071136	0.3102176619401472	0.013098318862217776	0.12147286724543976	0.16460867260143038	0.85698476420861168
2018-04-01	0.22471069164383868	0.16094979302915668	0.084301904021183312	0.82359466655842976	0.75380239960883184	0.22248484182112064	0.021992655576525972	0.052926753904167576	0.31614735877167264	0.83733208067668112
2018-05-01	0.15505197631589218	0.034094875402510364	-0.036237777360594528	0.015602486314241452	0.84298362417087808	0.15036830644060014	0.023001610941407244	0.0577240345153892	0.25338307794281488	0.80606809896355216
2018-06-01	0.080457531542298784	-0.15208428498477968	0.26471507797899328	-0.022206797905859896	0.85516330619517008	0.08482468889988648	0.0376014509704002	0.12132176282318518	0.21894533931969148	0.70583964547307824
2018-07-01	0.0040673718553815992	0.24775981803061776	-0.00054069914294052616	0.72933474134260064	0.43805512151348616	0.021494292175572328	0.09836170613814656	0.13521518069565228	0.21768306047856324	0.51620907181643928
2018-08-01	0.02061936489006684	0.27032525587513452	0.2034922597892452	-0.070983462229778152	0.25643001750032272	-0.048349738113337328	0.048166170964108128	0.13429284515669546	0.01329302177013985	0.3660623903269072
2018-09-01	-0.16172603214021724	-0.4682712553848832	0.2003698561093586	-0.72805174452661904	0.43200058086176776	-0.1508611766680282	-0.12070324813978202	0.01768743339162698	-0.11887631559083152	0.30613166303480092
2018-10-01	-0.279955700887577	-0.055302296209764072	-0.2659165062262634	0.65942195018052496	0.0933837989467212	-0.24322469518628188	-0.19380555985056444	-0.2462689627816912	0.012247025610478318	0.27751657914385508
2018-11-01	-0.3476565827415502	-0.16924514473614894	-0.7739160421366064	-0.22487456755979964	0.42728055425733992	-0.29348982083806896	-0.30426778009038096	-0.50656182882766552	-0.011440406346888982	0.347185745684771
2018-12-01	-0.17518634454642698	-0.58828733929051648	-0.35541193950209928	-0.11433720124263386	0.46602355438665856	-0.30643708649465536	-0.44671366114057304	-0.63182419365527464	0.03913286138615492	0.39797498949111664
2019-01-01	-0.42322787678047792	-0.54471723305472496	-0.920124583182048	0.25486800103804948	0.3690766959065608	-0.34101378693078804	-0.48074431992825008	-0.7580432994824384	0.17960414044578768	0.39281494596902872
2019-02-01	-0.33419991974236148	-0.3700972802850728	-0.77334833113314144	0.42793974404884112	0.30485238672206312	-0.324916474972986	-0.40753455153046512	-0.74479413437390144	0.27214067983939816	0.36268481542018592
2019-03-01	-0.30888423354862244	-0.32182704972642784	-0.61090341804148648	0.10335218683723988	0.40177128651982176	-0.26805579329745792	-0.29223206415074644	-0.6137329700940176	0.25417358916663692	0.31482554808379904
2019-04-01	-0.15148365468909262	-0.16297849865427954	-0.44614351957897272	0.29831296012101432	0.22051514641878336	-0.18962582934978844	-0.16254729474722974	-0.41507027516638104	0.2189330422365978	0.19864566550095612
2019-05-01	-0.12726207435469428	0.049166441777551056	-0.2040600081184822	0.25168920311012388	0.076895539885688752	-0.14964911082672656	-0.075785665853732624	-0.19618696606205528	0.10882781052897764	0.05049942764876772
2019-06-01	-0.1077376840860749	-0.11589334158902458	0.058420406604768952	-0.21960101914611532	-0.19570539033057284	-0.17000599076432554	-0.0896838039111224	-0.035537203664695044	-0.054353416592110304	-0.071389424577828096
