_date_	pibuem
1995-01-01	NA
1995-02-01	NA
1995-03-01	NA
1995-04-01	NA
1995-05-01	NA
1995-06-01	NA
1995-07-01	NA
1995-08-01	NA
1995-09-01	NA
1995-10-01	NA
1995-11-01	NA
1995-12-01	NA
1996-01-01	1.3081400717682556
1996-02-01	1.2874006224666188
1996-03-01	1.3081287461359858
1996-04-01	1.3760697790540132
1996-05-01	1.4295820233521272
1996-06-01	1.4998396203451794
1996-07-01	1.582056183760197
1996-08-01	1.6300533455479088
1996-09-01	1.6313483281392048
1996-10-01	1.578827030214742
1996-11-01	1.5732824401858024
1996-12-01	1.6251264817757752
1997-01-01	1.7435906617655136
1997-02-01	1.9132105214242984
1997-03-01	2.1346220699232484
1997-04-01	2.4087558391361196
1997-05-01	2.5728301505074632
1997-06-01	2.6103077371207824
1997-07-01	2.521249787616342
1997-08-01	2.559994183190382
1997-09-01	2.7418126793838392
1997-10-01	3.0729711965871976
1997-11-01	3.3383240745674108
1997-12-01	3.5429499824933776
1998-01-01	4.1000512197346
1998-02-01	3.9599233534372792
1998-03-01	3.7047313091810872
1998-04-01	3.27348769850023
1998-05-01	3.0520898415970132
1998-06-01	2.9647450405479268
1998-07-01	2.9961295451762804
1998-08-01	2.8734433747284212
1998-09-01	2.581131305447396
1998-10-01	2.094678130418778
1998-11-01	1.8296939398871104
1998-12-01	1.7718304613397108
1999-01-01	2.0474382813161104
1999-02-01	2.1639319598624996
1999-03-01	2.2037240984440304
1999-04-01	2.1253703607627272
1999-05-01	2.2163696984772328
1999-06-01	2.4167080008351232
1999-07-01	2.7290321154521304
1999-08-01	2.9838820615620644
1999-09-01	3.2534619126496044
1999-10-01	3.5780218154936928
1999-11-01	3.8715863561512112
1999-12-01	4.1031868594109584
2000-01-01	4.177225439827248
2000-02-01	4.3125953845469872
2000-03-01	4.4412136583843976
2000-04-01	4.6212943869247048
2000-05-01	4.5831639196232496
2000-06-01	4.3818330031215792
2000-07-01	4.0339529039674928
2000-08-01	3.8499377863836176
2000-09-01	3.7243318005800024
2000-10-01	3.5798588956198996
2000-11-01	3.464770863792234
2000-12-01	3.3620688051811972
2001-01-01	3.2857167683630416
2001-02-01	3.0882260647655436
2001-03-01	2.8350300122078752
2001-04-01	2.5484620179486944
2001-05-01	2.322060828689154
2001-06-01	2.155238277483938
2001-07-01	2.0469116724071384
2001-08-01	1.866717307685392
2001-09-01	1.6742639186268628
2001-10-01	1.540631118812271
2001-11-01	1.2971810596506868
2001-12-01	0.97721672327112912
2002-01-01	0.5244917463239496
2002-02-01	0.38149842669330128
2002-03-01	0.46858027371813912
2002-04-01	0.7642374879682272
2002-05-01	0.94006070283492464
2002-06-01	1.0416972325378008
2002-07-01	1.0736289882286784
2002-08-01	1.1367593958248676
2002-09-01	1.2181830445178572
2002-10-01	1.3091194192633692
2002-11-01	1.285581350665188
2002-12-01	1.172422517742679
2003-01-01	0.97463557341214816
2003-02-01	0.80015392081133504
2003-03-01	0.61973730167165352
2003-04-01	0.41874545481200528
2003-05-01	0.31425871272876544
2003-06-01	0.28740399572450348
2003-07-01	0.34325506096258628
2003-08-01	0.43577313030439016
2003-09-01	0.57690401212285512
2003-10-01	0.76146013869574704
2003-11-01	0.99500782501264608
2003-12-01	1.2875004692115478
2004-01-01	1.660279735430905
2004-02-01	1.9450036547900204
2004-03-01	2.1639473790098248
2004-04-01	2.31596764978634
2004-05-01	2.40365390949042
2004-06-01	2.3990225085198036
2004-07-01	2.2620112146507808
2004-08-01	2.1340514986789692
2004-09-01	2.0156358243529808
2004-10-01	1.8943913181236216
2004-11-01	1.7893043477815846
2004-12-01	1.6734471912376984
2005-01-01	1.4708609637577588
2005-02-01	1.4498462065330988
2005-03-01	1.407816692083779
2005-04-01	1.3447724204097988
2005-05-01	1.3954044737879972
2005-06-01	1.5597128522183768
2005-07-01	1.8376975557009344
2005-08-01	2.0140690796472184
2005-09-01	2.0888274240572324
2005-10-01	2.0619725889309648
2005-11-01	2.1535162805562948
2005-12-01	2.3634584989332104
2006-01-01	2.6917992440617144
2006-02-01	2.9705711023302124
2006-03-01	3.1997740737387072
2006-04-01	3.3794081582871992
2006-05-01	3.4169344737522472
2006-06-01	3.3123530201338488
2006-07-01	3.0656637974320108
2006-08-01	3.0510219608344856
2006-09-01	3.2684275103412748
2006-10-01	3.7178804459523824
2006-11-01	3.9388290535452232
2006-12-01	3.931273333119808
2007-01-01	3.695213284676132
2007-02-01	3.4949689679315144
2007-03-01	3.33054038288595
2007-04-01	3.201927529539444
2007-05-01	3.134259268417162
2007-06-01	3.1275355995191048
2007-07-01	3.1817565228452744
2007-08-01	3.0840989640531764
2007-09-01	2.8345629231428184
2007-10-01	2.433148400114194
2007-11-01	2.2124789238166612
2007-12-01	2.172554494250218
2008-01-01	2.3133751114148628
2008-02-01	2.2305920532946056
2008-03-01	1.9242053198894412
2008-04-01	1.394214911199371
2008-05-01	0.98058211951095472
2008-06-01	0.68330694482419664
2008-07-01	0.50238938713909552
2008-08-01	0.15651008934301768
2008-09-01	-0.35433094856403772
2008-10-01	-1.0301337265820696
2008-11-01	-2.017393217059272
2008-12-01	-3.3161094199956432
2009-01-01	-4.926282335391184
2009-02-01	-5.8552193403350528
2009-03-01	-6.1029204348272576
2009-04-01	-5.6693856188677848
2009-05-01	-5.3200625998190624
2009-06-01	-5.0549513776810832
2009-07-01	-4.8740519524538496
2009-08-01	-4.5201441155796408
2009-09-01	-3.9932278670584616
2009-10-01	-3.293303206890308
2009-11-01	-2.3511310143896832
