_date_,find3f
1995-01-01,
1995-02-01,
1995-03-01,
1995-04-01,
1995-05-01,
1995-06-01,
1995-07-01,
1995-08-01,
1995-09-01,
1995-10-01,
1995-11-01,
1995-12-01,
1996-01-01,
1996-02-01,
1996-03-01,
1996-04-01,
1996-05-01,
1996-06-01,
1996-07-01,
1996-08-01,
1996-09-01,
1996-10-01,
1996-11-01,
1996-12-01,
1997-01-01,
1997-02-01,
1997-03-01,
1997-04-01,
1997-05-01,
1997-06-01,
1997-07-01,
1997-08-01,
1997-09-01,
1997-10-01,
1997-11-01,
1997-12-01,
1998-01-01,
1998-02-01,
1998-03-01,
1998-04-01,
1998-05-01,
1998-06-01,
1998-07-01,
1998-08-01,
1998-09-01,
1998-10-01,
1998-11-01,
1998-12-01,
1999-01-01,
1999-02-01,
1999-03-01,
1999-04-01,
1999-05-01,
1999-06-01,
1999-07-01,
1999-08-01,
1999-09-01,
1999-10-01,
1999-11-01,
1999-12-01,
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,-0.057661549820351
2003-04-01,-0.434096795873038
2003-05-01,-0.4863185262635814
2003-06-01,-0.5732998518229742
2003-07-01,-0.4257074117149182
2003-08-01,-0.5943652912044906
2003-09-01,-0.8270158915874236
2003-10-01,-1.0507399163803817
2003-11-01,-1.0811482409300932
2003-12-01,-1.1404134001073685
2004-01-01,-1.1891428297428097
2004-02-01,-0.9980689888565428
2004-03-01,-0.7401485429589204
2004-04-01,-0.3645547709243064
2004-05-01,-0.0916453001827472
2004-06-01,-0.0674617188498359
2004-07-01,-0.118773260084595
2004-08-01,-0.1336120340525076
2004-09-01,-0.042424010472282
2004-10-01,-0.1228749581661411
2004-11-01,0.0165105122644424
2004-12-01,-0.0592088958387911
2005-01-01,0.1383036857527521
2005-02-01,0.1299547118178672
2005-03-01,0.332859838913867
2005-04-01,0.461646080560182
2005-05-01,0.260956568534814
2005-06-01,-0.055020981059951
2005-07-01,-0.3046888230878213
2005-08-01,-0.3196868152719869
2005-09-01,-0.2831928808838572
2005-10-01,-0.1342068462912967
2005-11-01,-0.0020791315072485
2005-12-01,0.0126340576206465
2006-01-01,0.7190039489402745
2006-02-01,1.2345469986457733
2006-03-01,1.6471202127301128
2006-04-01,1.3722631084176156
2006-05-01,1.1488367679032467
2006-06-01,1.3663564601141385
2006-07-01,1.2615120924660932
2006-08-01,1.0709905699295743
2006-09-01,0.5918833709944172
2006-10-01,0.5740793779190546
2006-11-01,0.4125471972396712
2006-12-01,0.3279513912189173
2007-01-01,-0.5079170943729417
2007-02-01,-1.4645418420059344
2007-03-01,-2.2329638876989404
2007-04-01,-2.4053470732781217
2007-05-01,-2.1824163572281625
2007-06-01,-2.206669248300517
2007-07-01,-1.953926455600804
2007-08-01,-1.9388339379454889
2007-09-01,-1.763700816473575
2007-10-01,-1.5914762372900266
2007-11-01,-1.4434356826688461
2007-12-01,-1.3658501906856846
2008-01-01,-1.0783614352460003
2008-02-01,-0.1252505745587317
2008-03-01,0.5459176240377318
2008-04-01,0.7970887266998742
2008-05-01,0.7995105326564804
2008-06-01,0.88712648142993
2008-07-01,1.1579495870934757
2008-08-01,1.2244549899420356
2008-09-01,1.6651142006729416
2008-10-01,1.3029202004691511
2008-11-01,1.091769743238954
2008-12-01,0.6384996104927427
2009-01-01,0.2773043860978658
2009-02-01,-0.0319112598264817
2009-03-01,-0.1631889490056641
2009-04-01,0.0385052512375636
2009-05-01,0.1352351105057178
2009-06-01,0.2497925236692946
2009-07-01,0.1105232917496168
2009-08-01,0.2868287684471281
2009-09-01,0.0512821761765233
2009-10-01,0.3519140781571044
2009-11-01,1.0309467379756594
2009-12-01,1.9513904061691247
2010-01-01,2.790526205469272
2010-02-01,3.101743001794645
2010-03-01,3.440605837634655
2010-04-01,3.2785131854118523
2010-05-01,3.037050967197673
2010-06-01,2.58567148918894
2010-07-01,2.273947649597622
2010-08-01,1.6656942065181082
2010-09-01,1.5940276922382313
2010-10-01,1.661795764210051
2010-11-01,1.959059742424352
2010-12-01,1.84624831481441
2011-01-01,2.14526692525972
2011-02-01,2.3949411150771827
2011-03-01,2.363319572689827
2011-04-01,2.257198135719425
2011-05-01,1.9848461462569285
2011-06-01,1.7864139506478165
2011-07-01,1.7479842142991133
2011-08-01,1.7712720611774095
2011-09-01,1.8558640053627928
