_date_,find2f
2013-08-01,1.1731704459602026
2013-09-01,1.2903443997252315
2013-10-01,1.5910922703495027
2013-11-01,1.677395506310569
2013-12-01,1.5524431238495582
2014-01-01,1.3477137073975345
2014-02-01,1.5302533709791
2014-03-01,1.5051110294981298
2014-04-01,1.6237926549609736
2014-05-01,1.4554589201451065
2014-06-01,0.7084241271731576
2014-07-01,0.896961735362687
2014-08-01,0.801263081804294
2014-09-01,0.5331253330186642
2014-10-01,0.4444499893786178
2014-11-01,0.9818807602545824
2014-12-01,1.140419217381941
2015-01-01,0.974064655119072
2015-02-01,0.8653509171081051
2015-03-01,1.0898052763266084
2015-04-01,0.6275167806868256
2015-05-01,0.3281779025633455
2015-06-01,0.2915070908998932
2015-07-01,0.1633169786107215
2015-08-01,0.127520700836345
2015-09-01,0.3539764151332783
2015-10-01,0.4228172551309164
2015-11-01,0.2971746479650263
2015-12-01,0.3132092767468879
2016-01-01,0.1477177638212552
2016-02-01,0.0838136210176898
2016-03-01,-0.337012324659852
2016-04-01,-0.1804174351773294
2016-05-01,-0.163840545723131
2016-06-01,-0.4162561907633579
2016-07-01,-0.5348321578003444
2016-08-01,-0.322343416650331
2016-09-01,-0.2383166734017381
2016-10-01,-0.1488074059813423
2016-11-01,-0.2803715444530286
2016-12-01,-0.5524663223091627
2017-01-01,-0.4940398284456332
2017-02-01,-0.7040004887311376
2017-03-01,-0.7232558767239928
2017-04-01,-0.9309149314487484
2017-05-01,-0.7920643096554176
2017-06-01,-0.5820278906661853
2017-07-01,-0.3199816539671636
2017-08-01,-0.2804168137509425
2017-09-01,-0.1035727600623053
2017-10-01,-0.1620696332333153
2017-11-01,-0.0407737925982084
2017-12-01,-0.0882534171353008
2018-01-01,-0.4442992108544222
2018-02-01,-0.6667637426071088
2018-03-01,-0.5900963195602416
2018-04-01,-0.5253938275914902
2018-05-01,-0.8525800678777607
2018-06-01,-1.1462330932420333
2018-07-01,-1.2695656388820606
2018-08-01,-1.3293994904759443
2018-09-01,-1.500635688571997
2018-10-01,-1.5031395181666356
2018-11-01,-1.7009744688522113
2018-12-01,-1.466452866125623
2019-01-01,-1.0948796448059415
2019-02-01,-0.6890411382062891
2019-03-01,-0.976269248465322
2019-04-01,-1.3081053533528497
2019-05-01,-1.3073110506293035
2019-06-01,-1.5062657509041644
2019-07-01,-1.4430492803434487
2019-08-01,-1.1999873711495521
2019-09-01,-0.7387523090713569
2019-10-01,-0.7376077311331355
2019-11-01,-0.7460975242499001
2019-12-01,-1.0641623392812904
2020-01-01,-1.3867509498238815
2020-02-01,-1.020237340389329
2020-03-01,-1.9753229539420007
2020-04-01,-7.366338224398266
2020-05-01,-8.830453468139433
2020-06-01,-4.113871562225992
2020-07-01,0.5037967963956071
2020-08-01,0.9418784741608476
2020-09-01,0.1517093256908583
2020-10-01,0.4161985453761956
2020-11-01,1.0919994151970078
2020-12-01,0.7921513111841814
2021-01-01,0.3151934670964178
2021-02-01,-0.0106254750839236
2021-03-01,1.5361872074056513
2021-04-01,7.360484781887421
2021-05-01,8.530589292416746
2021-06-01,4.686057288100942
2021-07-01,0.2056028655578927
2021-08-01,-0.9680365588547182
2021-09-01,-1.2293272951901548
2021-10-01,-2.041102597875208
2021-11-01,-2.9809452954941538
2021-12-01,-3.16076732664992
2022-01-01,-3.36317250105657
2022-02-01,-3.9348495485069694
2022-03-01,-5.737651707685465
2022-04-01,-6.105184457106289
2022-05-01,-5.061151024933972
2022-06-01,-4.400441313739473
2022-07-01,-4.658014571118572
2022-08-01,-5.281534941001101
2022-09-01,-4.9972949399194
2022-10-01,-4.711032326385704
2022-11-01,-4.620379821940958
2022-12-01,-3.970746833265237
2023-01-01,-3.2326315777127523
2023-02-01,-2.915918410002381
2023-03-01,-0.9908804337021024
2023-04-01,-1.0167843420781368
2023-05-01,-1.7406770201112551
2023-06-01,-2.047359314683905
2023-07-01,-1.4495941269329846
2023-08-01,-1.273370255183037
2023-09-01,-1.2364087069327634
2023-10-01,-0.8536763176480509
2023-11-01,0.0612085246781342
2023-12-01,-0.156180755730077
2024-01-01,-0.2191345741222327
2024-02-01,0.0262438041139755
2024-03-01,0.1115308952870968
2024-04-01,0.3524487652355922
2024-05-01,0.513188261607594
2024-06-01,0.8394609865857974
2024-07-01,0.3753421259211207
2024-08-01,0.3940237293251818
2024-09-01,0.9683713182478032
2024-10-01,1.5514019721171497
2024-11-01,0.7844185286448513
2024-12-01,-0.069494043495574
2025-01-01,-0.5570813082430093
2025-02-01,-0.6185290975067252
2025-03-01,-0.9246575674642188
2025-04-01,-1.2207172551359178
2025-05-01,-1.2300070294868966
2025-06-01,-1.2721304750932294
2025-07-01,-1.0282333861482513
2025-08-01,-1.0152444097710769
2025-09-01,-1.4602196816809012
2025-10-01,-1.937761354177186
2025-11-01,-1.687744910228795
2025-12-01,-1.2110816514599065
2026-01-01,
2026-02-01,
2026-03-01,
2026-04-01,
2026-05-01,
2026-06-01,
2026-07-01,
2026-08-01,
2026-09-01,
2026-10-01,
2026-11-01,
2026-12-01,
