_date_,finv1f
2013-07-01,0.1057021614013907
2013-08-01,1.0034657932122992
2013-09-01,1.5501754929892755
2013-10-01,1.8182980790653724
2013-11-01,2.3068661456661643
2013-12-01,2.756921645227219
2014-01-01,3.0963159989965807
2014-02-01,3.111330438335351
2014-03-01,2.7299576417525127
2014-04-01,2.9382269533261307
2014-05-01,3.175342462474992
2014-06-01,2.6933886791188644
2014-07-01,2.0767016579254527
2014-08-01,1.3214435638309916
2014-09-01,1.5108944361155419
2014-10-01,1.7266771784141994
2014-11-01,1.9561037879672885
2014-12-01,1.749331318783478
2015-01-01,1.2649899992430687
2015-02-01,1.305963774677009
2015-03-01,1.8841746797075765
2015-04-01,2.037315916181014
2015-05-01,2.4367773814002187
2015-06-01,2.8454218966048166
2015-07-01,3.235689309725479
2015-08-01,2.7461401755154284
2015-09-01,2.2116727418772246
2015-10-01,2.1954149513274737
2015-11-01,2.4259926445364246
2015-12-01,2.1324363210121393
2016-01-01,2.0087978976772547
2016-02-01,2.073139918818241
2016-03-01,1.9310899066221008
2016-04-01,1.987900005845404
2016-05-01,1.1868211327234715
2016-06-01,0.8632044451073908
2016-07-01,0.3064439192240206
2016-08-01,1.4916616536433418
2016-09-01,1.7563535783139541
2016-10-01,1.6116039524788621
2016-11-01,0.7523161013056755
2016-12-01,0.8364184092494056
2017-01-01,1.4221271998063576
2017-02-01,1.395541873814152
2017-03-01,1.2355034624759305
2017-04-01,0.5388296003517554
2017-05-01,0.889333152912655
2017-06-01,1.3054741074596243
2017-07-01,1.8787991617164232
2017-08-01,1.6980921344431716
2017-09-01,1.979875225405608
2017-10-01,2.4310834725761663
2017-11-01,2.8759582804513584
2017-12-01,3.0109115202340626
2018-01-01,2.735034911582588
2018-02-01,2.275956583709617
2018-03-01,2.067719803289432
2018-04-01,1.2583743374062548
2018-05-01,0.2512752106515332
2018-06-01,-0.5241510263535916
2018-07-01,0.0561163671652294
2018-08-01,0.7648942650970201
2018-09-01,0.1854413757764498
2018-10-01,-0.3442983525665796
2018-11-01,-0.9589362754634072
2018-12-01,-0.8475480480469579
2019-01-01,-0.3833255778237208
2019-02-01,-0.148507285760619
2019-03-01,-0.0397212971397734
2019-04-01,0.5629561946821778
2019-05-01,1.7318587402576124
2019-06-01,2.492433538154011
2019-07-01,1.7103593938110186
2019-08-01,0.6633949264901146
2019-09-01,0.3215309964167492
2019-10-01,-0.0265548724525372
2019-11-01,0.0355901135581071
2019-12-01,0.0594538291173795
2020-01-01,-0.1884266028328283
2020-02-01,0.5235102948823422
2020-03-01,-2.925483499153094
2020-04-01,-11.000236785979808
2020-05-01,-16.103296820844633
2020-06-01,-14.198513656908245
2020-07-01,-6.747599433805645
2020-08-01,-3.2912678361178127
2020-09-01,-1.4077681340316555
2020-10-01,-0.8363946735138684
2020-11-01,-0.2251168125123994
2020-12-01,-0.4182281746152491
2021-01-01,-0.9391120070208238
2021-02-01,-2.147226522517342
2021-03-01,0.8639850268209326
2021-04-01,9.842440864247196
2021-05-01,14.964541636296293
2021-06-01,12.70096167610016
2021-07-01,5.063559558066024
