_date_,pibuem
1995-01-01,
1995-02-01,
1995-03-01,
1995-04-01,
1995-05-01,
1995-06-01,
1995-07-01,
1995-08-01,
1995-09-01,
1995-10-01,
1995-11-01,
1995-12-01,
1996-01-01,1.3081400717682556
1996-02-01,1.2874006224666188
1996-03-01,1.3081287461359858
1996-04-01,1.3760697790540133
1996-05-01,1.4295820233521273
1996-06-01,1.4998396203451794
1996-07-01,1.582056183760197
1996-08-01,1.6300533455479087
1996-09-01,1.6313483281392047
1996-10-01,1.578827030214742
1996-11-01,1.5732824401858023
1996-12-01,1.6251264817757751
1997-01-01,1.7435906617655137
1997-02-01,1.9132105214242985
1997-03-01,2.1346220699232483
1997-04-01,2.40875583913612
1997-05-01,2.572830150507463
1997-06-01,2.6103077371207823
1997-07-01,2.521249787616342
1997-08-01,2.559994183190382
1997-09-01,2.7418126793838393
1997-10-01,3.0729711965871975
1997-11-01,3.338324074567411
1997-12-01,3.5429499824933774
1998-01-01,4.1000512197346
1998-02-01,3.9599233534372793
1998-03-01,3.704731309181087
1998-04-01,3.27348769850023
1998-05-01,3.052089841597013
1998-06-01,2.964745040547927
1998-07-01,2.9961295451762804
1998-08-01,2.8734433747284207
1998-09-01,2.581131305447396
1998-10-01,2.094678130418778
1998-11-01,1.8296939398871104
1998-12-01,1.771830461339711
1999-01-01,2.0474382813161105
1999-02-01,2.1639319598625
1999-03-01,2.2037240984440305
1999-04-01,2.125370360762727
1999-05-01,2.2163696984772328
1999-06-01,2.4167080008351234
1999-07-01,2.72903211545213
1999-08-01,2.9838820615620643
1999-09-01,3.2534619126496045
1999-10-01,3.5780218154936927
1999-11-01,3.8715863561512114
1999-12-01,4.103186859410958
2000-01-01,4.177225439827248
2000-02-01,4.312595384546987
2000-03-01,4.441213658384398
2000-04-01,4.6212943869247045
2000-05-01,4.583163919623249
2000-06-01,4.381833003121579
2000-07-01,4.033952903967493
2000-08-01,3.8499377863836175
2000-09-01,3.7243318005800017
2000-10-01,3.5798588956199
2000-11-01,3.464770863792234
2000-12-01,3.3620688051811967
2001-01-01,3.2857167683630415
2001-02-01,3.088226064765544
2001-03-01,2.8350300122078753
2001-04-01,2.5484620179486943
2001-05-01,2.322060828689154
2001-06-01,2.155238277483938
2001-07-01,2.0469116724071386
2001-08-01,1.866717307685392
2001-09-01,1.6742639186268629
2001-10-01,1.540631118812271
2001-11-01,1.2971810596506868
2001-12-01,0.9772167232711292
2002-01-01,0.5244917463239496
2002-02-01,0.3814984266933012
2002-03-01,0.4685802737181391
2002-04-01,0.7642374879682272
2002-05-01,0.9400607028349246
2002-06-01,1.0416972325378009
2002-07-01,1.0736289882286785
2002-08-01,1.1367593958248676
2002-09-01,1.2181830445178572
2002-10-01,1.3091194192633693
2002-11-01,1.285581350665188
2002-12-01,1.172422517742679
2003-01-01,0.974635573412148
2003-02-01,0.800153920811335
2003-03-01,0.6197373016716535
2003-04-01,0.4187454548120052
2003-05-01,0.3142587127287654
2003-06-01,0.2874039957245034
2003-07-01,0.3432550609625862
2003-08-01,0.4357731303043901
2003-09-01,0.5769040121228551
2003-10-01,0.761460138695747
2003-11-01,0.995007825012646
2003-12-01,1.2875004692115477
2004-01-01,1.660279735430905
2004-02-01,1.9450036547900205
2004-03-01,2.1639473790098247
2004-04-01,2.31596764978634
2004-05-01,2.40365390949042
2004-06-01,2.399022508519804
2004-07-01,2.262011214650781
2004-08-01,2.1340514986789687
2004-09-01,2.0156358243529806
2004-10-01,1.8943913181236216
2004-11-01,1.7893043477815846
2004-12-01,1.6734471912376985
2005-01-01,1.4708609637577588
2005-02-01,1.4498462065330988
2005-03-01,1.407816692083779
2005-04-01,1.3447724204097988
2005-05-01,1.3954044737879971
2005-06-01,1.5597128522183767
2005-07-01,1.8376975557009343
2005-08-01,2.0140690796472183
2005-09-01,2.088827424057232
2005-10-01,2.061972588930965
2005-11-01,2.153516280556295
2005-12-01,2.3634584989332104
2006-01-01,2.6917992440617144
2006-02-01,2.9705711023302124
2006-03-01,3.1997740737387073
2006-04-01,3.379408158287199
2006-05-01,3.416934473752247
2006-06-01,3.3123530201338487
2006-07-01,3.065663797432011
2006-08-01,3.0510219608344857
2006-09-01,3.268427510341275
2006-10-01,3.717880445952382
2006-11-01,3.938829053545223
2006-12-01,3.931273333119808
2007-01-01,3.695213284676132
2007-02-01,3.4949689679315146
2007-03-01,3.33054038288595
2007-04-01,3.201927529539444
2007-05-01,3.134259268417162
2007-06-01,3.127535599519105
2007-07-01,3.181756522845274
2007-08-01,3.0840989640531764
2007-09-01,2.834562923142818
2007-10-01,2.433148400114194
2007-11-01,2.212478923816661
2007-12-01,2.172554494250218
2008-01-01,2.313375111414863
2008-02-01,2.2305920532946057
2008-03-01,1.9242053198894409
2008-04-01,1.394214911199371
2008-05-01,0.9805821195109548
2008-06-01,0.6833069448241966
2008-07-01,0.5023893871390955
2008-08-01,0.1565100893430176
2008-09-01,-0.3543309485640377
2008-10-01,-1.0301337265820696
2008-11-01,-2.017393217059272
2008-12-01,-3.316109419995643
2009-01-01,-4.926282335391184
2009-02-01,-5.8552193403350525
2009-03-01,-6.102920434827258
2009-04-01,-5.669385618867785
2009-05-01,-5.320062599819062
2009-06-01,-5.054951377681083
2009-07-01,-4.87405195245385
2009-08-01,-4.520144115579641
2009-09-01,-3.9932278670584616
2009-10-01,-3.293303206890308
2009-11-01,-2.3511310143896833
2009-12-01,-1.1667112895565876
2010-01-01,0.259955967608975
2010-02-01,1.300250055394756
2010-03-01,1.9541709738007524
2010-04-01,2.2217187228269655
