_date_,fexp1f
2014-07-01,0.2442925098905541
2014-08-01,0.3337406363543758
2014-09-01,0.6737735060885534
2014-10-01,0.5682307474037922
2014-11-01,0.7553558324415595
2014-12-01,0.5988208563616312
2015-01-01,0.2787738077905548
2015-02-01,0.1409742804366084
2015-03-01,0.3668494858746272
2015-04-01,0.8060982118908462
2015-05-01,0.8336444868075276
2015-06-01,0.6223415032583844
2015-07-01,0.7107893278775809
2015-08-01,0.641292471665378
2015-09-01,0.4359359430286126
2015-10-01,0.2468213789592266
2015-11-01,0.5011819227187037
2015-12-01,0.606210973209984
2016-01-01,0.7654318394835009
2016-02-01,0.7698856482144523
2016-03-01,0.567299464735383
2016-04-01,0.5799615310804024
2016-05-01,0.5857881372310401
2016-06-01,0.7487799098253156
2016-07-01,0.2677373752578328
2016-08-01,0.2217999427880399
2016-09-01,0.2295899036089196
2016-10-01,0.561870502817934
2016-11-01,0.5208853124567772
2016-12-01,0.7370713867649048
2017-01-01,1.17444612643837
2017-02-01,1.1688471400944966
2017-03-01,1.4123336568366485
2017-04-01,1.0054261891587688
2017-05-01,1.1572140843745038
2017-06-01,1.0561402663029997
2017-07-01,1.2432207420425647
2017-08-01,1.0771629226120074
2017-09-01,1.1173590210712603
2017-10-01,1.1957296845891534
2017-11-01,1.0669821969400053
2017-12-01,0.7498720455767643
2018-01-01,0.5676554252537694
2018-02-01,0.3861913521702679
2018-03-01,0.3234750414692424
2018-04-01,0.2247106916438386
2018-05-01,0.1550519763158921
2018-06-01,0.0804575315422987
2018-07-01,0.0040673718553815
2018-08-01,0.0206193648900668
2018-09-01,-0.1617260321402172
2018-10-01,-0.279955700887577
2018-11-01,-0.3476565827415502
2018-12-01,-0.1751863445464269
2019-01-01,-0.4232278767804779
2019-02-01,-0.3341999197423614
2019-03-01,-0.3088842335486224
2019-04-01,-0.1514836546890926
2019-05-01,-0.1272620743546942
2019-06-01,-0.1077376840860749
2019-07-01,-0.2085070455991337
2019-08-01,-0.4064273251536576
2019-09-01,-0.3074104279274938
2019-10-01,-0.3222892383460942
2019-11-01,-0.1359497556373397
2019-12-01,-0.1847550855648048
2020-01-01,-0.1667815103757854
2020-02-01,-0.1516627391477071
2020-03-01,-2.948418897906633
2020-04-01,-14.106442549404688
2020-05-01,-26.252575674505056
2020-06-01,-30.775286344231887
2020-07-01,-22.549027412628856
2020-08-01,-14.297350668610582
2020-09-01,-11.07567252239048
2020-10-01,-11.572214568073033
2020-11-01,-12.109410844105925
2020-12-01,-11.574000196348173
2021-01-01,-11.852029969640107
2021-02-01,-12.540224046329094
2021-03-01,-10.471895117152947
2021-04-01,1.0219722500569355
2021-05-01,14.0811687088507
2021-06-01,19.97641441733327
2021-07-01,14.083421793323447
2021-08-01,8.04629603426717
2021-09-01,6.263712288826402
2021-10-01,7.759769481093896
2021-11-01,9.22822341193784
2021-12-01,9.2630893354846
2022-01-01,9.543852535901664
2022-02-01,10.097922581692274
2022-03-01,10.685437400766245
2022-04-01,10.971069410361544
2022-05-01,10.347557709549791
2022-06-01,9.15977302493274
2022-07-01,6.9008896039881735
2022-08-01,4.9028501433158995
2022-09-01,3.802178325194336
2022-10-01,2.870361116292591
2022-11-01,1.8880214053654727
2022-12-01,1.4777369527751971
2023-01-01,1.7607536833748965
2023-02-01,1.7177908433785682
2023-03-01,1.7952710544311152
2023-04-01,1.0078716868158648
2023-05-01,0.4102161203489961
2023-06-01,-0.1495486276065065
2023-07-01,-0.1452131557548305
2023-08-01,-0.3221615164475997
2023-09-01,-0.7540839249434019
2023-10-01,-0.6939446650373887
2023-11-01,-0.4133908678182099
