_date_,fcp3f
1995-01-01,
1995-02-01,
1995-03-01,
1995-04-01,
1995-05-01,
1995-06-01,
1995-07-01,
1995-08-01,
1995-09-01,
1995-10-01,
1995-11-01,
1995-12-01,
1996-01-01,
1996-02-01,
1996-03-01,
1996-04-01,
1996-05-01,
1996-06-01,
1996-07-01,
1996-08-01,
1996-09-01,
1996-10-01,
1996-11-01,
1996-12-01,
1997-01-01,
1997-02-01,
1997-03-01,
1997-04-01,
1997-05-01,
1997-06-01,
1997-07-01,
1997-08-01,
1997-09-01,
1997-10-01,
1997-11-01,
1997-12-01,
1998-01-01,
1998-02-01,
1998-03-01,
1998-04-01,
1998-05-01,
1998-06-01,
1998-07-01,
1998-08-01,
1998-09-01,
1998-10-01,
1998-11-01,
1998-12-01,
1999-01-01,
1999-02-01,
1999-03-01,
1999-04-01,
1999-05-01,
1999-06-01,
1999-07-01,
1999-08-01,
1999-09-01,
1999-10-01,
1999-11-01,
1999-12-01,
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,-0.4665698995310139
2006-04-01,-0.9203802810264368
2006-05-01,-0.9149377545245772
2006-06-01,-0.5832535718658913
2006-07-01,-0.6656382101924341
2006-08-01,-0.5390861207973128
2006-09-01,-0.5100273035166928
2006-10-01,-0.2482545888861613
2006-11-01,-0.1478080330441841
2006-12-01,0.2163620945883768
2007-01-01,0.2218613816414133
2007-02-01,-0.1205943238281179
2007-03-01,0.2537176542509602
2007-04-01,-0.178917107862564
2007-05-01,-0.2116766958513506
2007-06-01,0.2818416523551648
2007-07-01,0.3122704729698693
2007-08-01,0.4122958733222932
2007-09-01,0.3521604211393175
2007-10-01,0.2852701235880488
2007-11-01,0.1282372647360652
2007-12-01,0.3652351999628852
2008-01-01,0.8657926336955873
2008-02-01,1.3129950669383763
2008-03-01,0.3024581876875715
2008-04-01,0.6060507311545342
2008-05-01,0.418853462580821
2008-06-01,-0.724990083676879
2008-07-01,0.2125857646404756
2008-08-01,0.3409773626584955
2008-09-01,-0.240217344265921
2008-10-01,-0.0226323105230757
2008-11-01,0.1782723948877456
2008-12-01,-0.5631636323740008
2009-01-01,-0.6060922661872491
2009-02-01,0.084515528389896
2009-03-01,0.2634793863641796
2009-04-01,0.5827098737853087
2009-05-01,1.009671099561356
2009-06-01,1.9037626087750348
2009-07-01,1.7025342607401226
2009-08-01,1.9815751441438885
2009-09-01,2.8437541450219856
2009-10-01,2.913337224699271
2009-11-01,3.5323452782664764
2009-12-01,3.682408563916749
2010-01-01,3.3226368727768594
2010-02-01,2.7451294375704727
2010-03-01,4.398812670729073
2010-04-01,3.860854393832163
2010-05-01,3.3749065868724006
2010-06-01,3.6677698208942098
2010-07-01,2.5111861720530952
2010-08-01,1.5784211360017313
2010-09-01,0.881091011811648
2010-10-01,0.7976709057346875
2010-11-01,0.531230311280034
2010-12-01,0.7510877700213507
2011-01-01,1.0957829071351797
2011-02-01,1.0076424094387517
2011-03-01,-0.3423921069629427
2011-04-01,0.3521702380558218
2011-05-01,0.7748611378665387
2011-06-01,-0.1764047290667918
2011-07-01,0.5783243771454599
2011-08-01,1.599481693290765
2011-09-01,1.59940850219078
2011-10-01,1.1509717904265304
2011-11-01,0.9367267383116344
2011-12-01,1.9093315679715308
2012-01-01,1.859584714346806
2012-02-01,1.3310370468379544
2012-03-01,1.4427093503475215
2012-04-01,0.9966829501547774
2012-05-01,0.872978262305304
2012-06-01,1.7488509440049402
2012-07-01,1.538223108031437
2012-08-01,1.175148916993726
2012-09-01,0.6260721001379213
2012-10-01,0.365508033643796
2012-11-01,0.4481209326569256
2012-12-01,-0.3952126161562647
2013-01-01,-0.0433407818197492
2013-02-01,1.0131535867572263
2013-03-01,1.422163451576801
2013-04-01,1.7763563700107732
