_date_,fcp4f
2015-01-01,0.0374782106599243
2015-02-01,-0.7120059637452673
2015-03-01,-1.48055728585827
2015-04-01,0.0008858986256823
2015-05-01,0.2047463873391972
2015-06-01,-0.9164568640369384
2015-07-01,-0.4361443402183056
2015-08-01,-0.5565998992478864
2015-09-01,0.4004398479538188
2015-10-01,0.7511733325306968
2015-11-01,-0.1078673415756598
2015-12-01,-0.0265883956320637
2016-01-01,0.2499423067918672
2016-02-01,0.7911128423966904
2016-03-01,2.1435309898139363
2016-04-01,0.404139948960702
2016-05-01,-0.0572145421165702
2016-06-01,0.5795193473621965
2016-07-01,0.2072640885424864
2016-08-01,0.5810741071061509
2016-09-01,-0.2265008105465809
2016-10-01,-0.3428692702917893
2016-11-01,-0.0080670619572493
2016-12-01,-0.3688382412281852
2017-01-01,-0.6111831367923326
2017-02-01,-0.3265406633780835
2017-03-01,-1.4002844970997423
2017-04-01,-1.4022175891478235
2017-05-01,-0.945436422265031
2017-06-01,-0.7998728651261782
2017-07-01,-0.2651056770091719
2017-08-01,-0.8332556199105204
2017-09-01,-0.651836322952098
2017-10-01,-0.4236600574726176
2017-11-01,-0.7694024367240835
2017-12-01,-0.6941392130458734
2018-01-01,-0.4388088270509258
2018-02-01,-0.4452598290587684
2018-03-01,-0.2942803386754354
2018-04-01,-0.1120390913457324
2018-05-01,-0.0790647003897208
2018-06-01,-0.588894197864066
2018-07-01,-1.1274086194531059
2018-08-01,-0.778956986252887
2018-09-01,-0.1972016064714026
2018-10-01,-0.7931412265956356
2018-11-01,-0.9462381285021032
2018-12-01,-0.4885692564290506
2019-01-01,-0.933889758876756
2019-02-01,-0.4084406025695837
2019-03-01,0.1416310345583137
2019-04-01,-0.5086171167804773
2019-05-01,-0.8637904936421495
2019-06-01,0.0989894034278519
2019-07-01,0.0934547792816137
2019-08-01,-0.4260135876839389
2019-09-01,-0.5474268005702911
2019-10-01,0.003342800778392
2019-11-01,0.3908505399897429
2019-12-01,-0.291169636321545
2020-01-01,-0.2388099007378393
2020-02-01,-0.8801190950387172
2020-03-01,2.457103684140218
2020-04-01,8.56920698882981
2020-05-01,-0.3601412387146283
2020-06-01,-10.487228509176846
2020-07-01,-6.675962649937497
2020-08-01,-1.9079147404590313
2020-09-01,-0.2598090108798472
2020-10-01,-0.2978716249576794
2020-11-01,-0.44088320433678
2020-12-01,-0.3029797072100387
2021-01-01,1.2374343161264776
2021-02-01,0.7612241654378998
2021-03-01,-5.077378967848271
2021-04-01,-8.978974654137295
2021-05-01,0.8226687501867096
2021-06-01,9.473316464171791
2021-07-01,5.513679543833838
2021-08-01,1.364478902126146
2021-09-01,-0.3784365292457306
2021-10-01,-0.3991389537736583
2021-11-01,-1.1915140488922917
2021-12-01,-0.91415291482156
2022-01-01,-0.5346082318351933
2022-02-01,-0.9321393387511804
2022-03-01,0.6484163348477859
2022-04-01,-1.7551420390199468
2022-05-01,-2.937077664090055
2022-06-01,-0.7113253991132892
2022-07-01,-0.2454878920887137
2022-08-01,-1.2632718765628934
2022-09-01,-1.8945218681455127
2022-10-01,-1.125451119976417
2022-11-01,0.1142102558250633
2022-12-01,-0.5721674129136824
2023-01-01,-2.631840332732526
2023-02-01,-1.9595936655897177
2023-03-01,-1.5984133294280014
2023-04-01,-0.5046063348662287
2023-05-01,0.4763529193588881
2023-06-01,-1.1321452987006984
2023-07-01,-1.3676497458327976
2023-08-01,-0.4260064227514486
2023-09-01,-0.1263266988997814
2023-10-01,-1.3337053251500524
2023-11-01,-1.6245072942944518
2023-12-01,-0.8731769807662382
2024-01-01,-0.6040267935281155
2024-02-01,-1.0629458383204484
2024-03-01,-0.5629703313603536
2024-04-01,-0.1970556763487804
2024-05-01,-0.5137909638292032
2024-06-01,-0.309830188187022
2024-07-01,-0.323267278332121
2024-08-01,-0.7167232317907952
2024-09-01,-0.946617022036375
2024-10-01,-0.6487814050612544
2024-11-01,-0.1600649933834456
2024-12-01,0.088471626068502
2025-01-01,-0.1559521156454716
2025-02-01,0.5734336649545452
2025-03-01,0.4199491919798529
2025-04-01,0.2668639607653764
2025-05-01,-0.3551460332190496
2025-06-01,-0.7770994245199379
2025-07-01,-0.4792234366678842
2025-08-01,0.0130037037846518
2025-09-01,0.4841722087136752
2025-10-01,0.5409478790157081
2025-11-01,0.0863772070483296
2025-12-01,-0.3194303190923298
2026-01-01,
2026-02-01,
2026-03-01,
2026-04-01,
2026-05-01,
2026-06-01,
2026-07-01,
2026-08-01,
2026-09-01,
2026-10-01,
2026-11-01,
2026-12-01,
