_date_,fexp4f
1995-01-01,
1995-02-01,
1995-03-01,
1995-04-01,
1995-05-01,
1995-06-01,
1995-07-01,
1995-08-01,
1995-09-01,
1995-10-01,
1995-11-01,
1995-12-01,
1996-01-01,
1996-02-01,
1996-03-01,
1996-04-01,
1996-05-01,
1996-06-01,
1996-07-01,
1996-08-01,
1996-09-01,
1996-10-01,
1996-11-01,
1996-12-01,
1997-01-01,
1997-02-01,
1997-03-01,
1997-04-01,
1997-05-01,
1997-06-01,
1997-07-01,
1997-08-01,
1997-09-01,
1997-10-01,
1997-11-01,
1997-12-01,
1998-01-01,
1998-02-01,
1998-03-01,
1998-04-01,
1998-05-01,
1998-06-01,
1998-07-01,
1998-08-01,
1998-09-01,
1998-10-01,
1998-11-01,
1998-12-01,
1999-01-01,
1999-02-01,
1999-03-01,
1999-04-01,
1999-05-01,
1999-06-01,
1999-07-01,
1999-08-01,
1999-09-01,
1999-10-01,
1999-11-01,
1999-12-01,
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,-0.1314320747449047
2005-04-01,0.5410431254353132
2005-05-01,-0.0834936249290826
2005-06-01,-0.3562851095701645
2005-07-01,-0.5632890297695988
2005-08-01,0.2047629221993634
2005-09-01,0.1092297664602434
2005-10-01,-0.9674240186668792
2005-11-01,0.1362572386433249
2005-12-01,-0.1855661357568531
2006-01-01,0.3233197161553978
2006-02-01,-0.1582565260607244
2006-03-01,-0.215289618508917
2006-04-01,-1.4885956839372538
2006-05-01,0.4111742303113148
2006-06-01,0.2312210442426028
2006-07-01,-0.6175421825122327
2006-08-01,0.4110329106208871
2006-09-01,-0.3476234045684298
2006-10-01,0.5462284530282633
2006-11-01,-0.4672662585759908
2006-12-01,0.3569981155078826
2007-01-01,0.198313922359388
2007-02-01,-0.1593713480199366
2007-03-01,-0.0667120381192551
2007-04-01,0.1840973234951281
2007-05-01,-0.1980162818246236
2007-06-01,0.1347261338841302
2007-07-01,0.571458664014282
2007-08-01,-0.0390523851199108
2007-09-01,-0.2627459373453499
2007-10-01,0.2809846854562065
2007-11-01,0.0619387988351022
2007-12-01,-0.9854900242689768
2008-01-01,0.4081285854506361
2008-02-01,0.6172286351800687
2008-03-01,-0.742630616655308
2008-04-01,1.2806346026624105
2008-05-01,-0.7442755145850225
2008-06-01,-1.2103900282819935
2008-07-01,0.8964640748436793
2008-08-01,-0.3779204501977018
2008-09-01,0.4035379926240216
2008-10-01,-1.0474112076928646
2008-11-01,-1.7873888125328123
2008-12-01,-0.307461652888981
2009-01-01,-1.5864250294096927
2009-02-01,-0.9664185009011376
2009-03-01,0.590706811146368
2009-04-01,-1.1202456795986375
2009-05-01,-0.4731867823022083
2009-06-01,0.7305359543790254
2009-07-01,-0.6558758300950904
2009-08-01,-0.4779768483526004
2009-09-01,-0.3688822937627776
2009-10-01,0.7383977491801667
2009-11-01,0.985934237597874
2009-12-01,0.9697932358752358
2010-01-01,0.560636034901692
2010-02-01,0.73628593555208
2010-03-01,0.9763371525187454
2010-04-01,-0.111023496454923
2010-05-01,1.1380747784737502
2010-06-01,0.0396756006545971
2010-07-01,-0.0443218003535091
2010-08-01,0.570464766518364
2010-09-01,-0.3413893578413358
2010-10-01,-0.0158996021994065
2010-11-01,0.5593706245947911
2010-12-01,-0.29386481157731
2011-01-01,0.7051238435167132
2011-02-01,-0.5651845294983556
2011-03-01,-0.6301740834750228
2011-04-01,-0.1978091425125392
2011-05-01,-0.4335972461752508
2011-06-01,-0.2505617335044201
2011-07-01,0.003887101583029
2011-08-01,0.3361560929252066
2011-09-01,-0.417387237201716
2011-10-01,-0.5024616584854504
2011-11-01,-0.0953129115633815
2011-12-01,-0.4781068414507544
2012-01-01,-0.524459192390348
2012-02-01,-0.1859614693538812
2012-03-01,-0.3103643489960858
2012-04-01,-0.2056337706918128
2012-05-01,0.1852536724467896
2012-06-01,-0.0226882214262676
2012-07-01,-0.2486094101652636
