_date_,fexp2f
1995-01-01,
1995-02-01,
1995-03-01,
1995-04-01,
1995-05-01,
1995-06-01,
1995-07-01,
1995-08-01,
1995-09-01,
1995-10-01,
1995-11-01,
1995-12-01,
1996-01-01,
1996-02-01,
1996-03-01,
1996-04-01,
1996-05-01,
1996-06-01,
1996-07-01,
1996-08-01,
1996-09-01,
1996-10-01,
1996-11-01,
1996-12-01,
1997-01-01,
1997-02-01,
1997-03-01,
1997-04-01,
1997-05-01,
1997-06-01,
1997-07-01,
1997-08-01,
1997-09-01,
1997-10-01,
1997-11-01,
1997-12-01,
1998-01-01,
1998-02-01,
1998-03-01,
1998-04-01,
1998-05-01,
1998-06-01,
1998-07-01,
1998-08-01,
1998-09-01,
1998-10-01,
1998-11-01,
1998-12-01,
1999-01-01,
1999-02-01,
1999-03-01,
1999-04-01,
1999-05-01,
1999-06-01,
1999-07-01,
1999-08-01,
1999-09-01,
1999-10-01,
1999-11-01,
1999-12-01,
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,-0.3851223051221735
2005-04-01,0.0332845180575976
2005-05-01,-0.0317698203564753
2005-06-01,-0.0504158492025882
2005-07-01,-0.4319197916127012
2005-08-01,-0.272753828342398
2005-09-01,0.2176579557966254
2005-10-01,-0.3041243748100925
2005-11-01,-0.234205609057579
2005-12-01,-0.0838958358894138
2006-01-01,0.2463995597640393
2006-02-01,0.7504492405326001
2006-03-01,0.9606752432850796
2006-04-01,0.0970994578815549
2006-05-01,0.2547993988640279
2006-06-01,0.573368184737019
2006-07-01,0.0333219423332587
2006-08-01,0.2013101854835788
2006-09-01,0.1223985059769394
2006-10-01,0.4670863212323144
2006-11-01,0.1629450059424
2006-12-01,0.2939764771277691
2007-01-01,0.4820889233009096
2007-02-01,0.0483578237135615
2007-03-01,-0.1354443633134671
2007-04-01,-0.0629760479508407
2007-05-01,-0.1952695634907217
2007-06-01,-0.0140674845065447
2007-07-01,0.5519899796857733
2007-08-01,0.5673535949018214
2007-09-01,0.2418313977819506
2007-10-01,0.3650902638642804
2007-11-01,0.6217010095802983
2007-12-01,-0.2567430791455342
2008-01-01,-0.1589670843802247
2008-02-01,0.6940123274824559
2008-03-01,-0.0389444625825314
2008-04-01,0.6350307007861957
2008-05-01,0.5400824426420592
2008-06-01,-0.7953376184143446
2008-07-01,-0.2662622073924979
2008-08-01,-0.1867596640564556
2008-09-01,0.0673274469438715
2008-10-01,-0.5779382378791411
2008-11-01,-2.195441361164435
2008-12-01,-2.4756993463548667
2009-01-01,-3.393461368104356
2009-02-01,-4.225288556571628
2009-03-01,-3.2609206948239566
2009-04-01,-3.2247266353120536
2009-05-01,-3.472000686845496
2009-06-01,-2.4523480031534723
2009-07-01,-2.06689531557987
2009-08-01,-2.1922766614328375
2009-09-01,-2.311442251833958
2009-10-01,-1.503470264600677
2009-11-01,-0.3445939812388987
2009-12-01,0.6266936147970571
2010-01-01,1.1205463079570892
2010-02-01,1.5063647441893029
2010-03-01,2.305094164252207
2010-04-01,1.7521593705212295
2010-05-01,1.998116746392976
2010-06-01,2.075188284191766
2010-07-01,1.3172574784287452
2010-08-01,1.608117346092178
2010-09-01,1.3110953765229294
2010-10-01,1.1073821337490322
2010-11-01,1.6544728243961742
2010-12-01,1.3673127984051634
2011-01-01,2.0446000402582487
2011-02-01,1.9914446499892655
2011-03-01,1.0130127054911509
2011-04-01,1.043771585922013
2011-05-01,0.7809639644962635
2011-06-01,0.3270646687404695
2011-07-01,0.6020907336552522
2011-08-01,0.9781057174406764
2011-09-01,0.851912116884027
2011-10-01,0.3760665538230893
2011-11-01,0.2065177113691404
2011-12-01,0.0376671185916754
2012-01-01,-0.2843627881689412
2012-02-01,-0.4408070482873983
2012-03-01,-0.507687487576586
2012-04-01,-0.6319514265056912
2012-05-01,-0.2301910023270294
2012-06-01,0.1748607405570754
2012-07-01,0.0371475250931276
2012-08-01,0.1570256058719862
