_date_,find1f
1995-01-01,
1995-02-01,
1995-03-01,
1995-04-01,
1995-05-01,
1995-06-01,
1995-07-01,
1995-08-01,
1995-09-01,
1995-10-01,
1995-11-01,
1995-12-01,
1996-01-01,
1996-02-01,
1996-03-01,
1996-04-01,
1996-05-01,
1996-06-01,
1996-07-01,
1996-08-01,
1996-09-01,
1996-10-01,
1996-11-01,
1996-12-01,
1997-01-01,
1997-02-01,
1997-03-01,
1997-04-01,
1997-05-01,
1997-06-01,
1997-07-01,
1997-08-01,
1997-09-01,
1997-10-01,
1997-11-01,
1997-12-01,
1998-01-01,
1998-02-01,
1998-03-01,
1998-04-01,
1998-05-01,
1998-06-01,
1998-07-01,
1998-08-01,
1998-09-01,
1998-10-01,
1998-11-01,
1998-12-01,
1999-01-01,
1999-02-01,
1999-03-01,
1999-04-01,
1999-05-01,
1999-06-01,
1999-07-01,
1999-08-01,
1999-09-01,
1999-10-01,
1999-11-01,
1999-12-01,
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,1.4569774807385762
2003-04-01,1.3481440173618855
2003-05-01,1.2641946047897716
2003-06-01,1.2153987217809359
2003-07-01,1.529371599466911
2003-08-01,1.883985436129248
2003-09-01,1.9762106487948448
2003-10-01,1.960918363991755
2003-11-01,1.8385432831200588
2003-12-01,1.7933214528220738
2004-01-01,1.6903034386788791
2004-02-01,1.467263119364895
2004-03-01,1.6204053441228776
2004-04-01,2.1995051853275336
2004-05-01,2.476807747282972
2004-06-01,2.6808676981931048
2004-07-01,2.598584248723036
2004-08-01,2.5249429746299175
2004-09-01,2.7292592256451313
2004-10-01,2.642064192186015
2004-11-01,2.4957532269121567
2004-12-01,2.2279021345483856
2005-01-01,2.2108229338346135
2005-02-01,1.7678551936593174
2005-03-01,1.3093887820551144
2005-04-01,0.7279231566881249
2005-05-01,0.6790173367768286
2005-06-01,0.6610957717214125
2005-07-01,0.8243813004284984
2005-08-01,1.1210322104063084
2005-09-01,1.2494499240194712
2005-10-01,1.15456600506156
2005-11-01,1.3175277078211678
2005-12-01,1.7255843897614525
2006-01-01,2.0373768304920485
2006-02-01,2.3326964832640926
2006-03-01,2.3835453797559567
2006-04-01,2.5494308577340865
2006-05-01,2.7124630333680226
2006-06-01,3.088658655205076
2006-07-01,3.6070479618099234
2006-08-01,3.7520278120924577
2006-09-01,3.5755810687853926
2006-10-01,3.952163189845913
2006-11-01,3.996843277964144
2006-12-01,4.462426778017358
2007-01-01,4.130874693844713
2007-02-01,4.099215455313632
2007-03-01,3.9361096101745137
2007-04-01,4.130982048134873
2007-05-01,4.250908427496457
2007-06-01,3.8590539673251496
2007-07-01,3.701467562158262
2007-08-01,3.527306685565692
2007-09-01,3.3500540050903673
2007-10-01,2.851867331611325
2007-11-01,2.641440452339768
2007-12-01,2.1126988896358805
2008-01-01,1.6426003804352611
2008-02-01,1.0373155580078655
2008-03-01,0.3579093456119752
2008-04-01,-0.0939575846082404
2008-05-01,-1.181920311370217
2008-06-01,-2.244298760056427
2008-07-01,-3.5024625808555765
2008-08-01,-4.2135135194949855
2008-09-01,-4.714503238691369
2008-10-01,-6.531037163187362
2008-11-01,-9.30007065086064
2008-12-01,-12.24698529597874
2009-01-01,-14.562942039651194
2009-02-01,-16.538090071958457
2009-03-01,-17.748258699039624
2009-04-01,-18.38247339582876
2009-05-01,-17.95155751631196
2009-06-01,-16.802223702185454
2009-07-01,-15.751412140553802
2009-08-01,-14.116410628329964
2009-09-01,-13.193475747234887
2009-10-01,-11.456996118794287
2009-11-01,-9.997351232154095
2009-12-01,-7.896369960023377
2010-01-01,-6.309736029771727
2010-02-01,-4.785948868950756
2010-03-01,-3.226520856251816
2010-04-01,-2.0723144559779216
2010-05-01,-0.9116010761374428
2010-06-01,-0.7453808430420785
2010-07-01,-0.2967619005278414
2010-08-01,-0.8753360527423545
2010-09-01,-1.065768822642477
2010-10-01,-1.183550749596314
2010-11-01,-0.7328625736646395
2010-12-01,-0.5460314306455034
2011-01-01,0.0580930594350803
2011-02-01,0.1559940250536186
2011-03-01,0.1154208457486833
2011-04-01,-0.2711223052238752
2011-05-01,-0.7545814947928088
2011-06-01,-0.984455937428767
2011-07-01,-1.3517952778220639
2011-08-01,-1.2572877363579322
2011-09-01,-1.5345566706646856
2011-10-01,-2.0521587630454614
