_date_;CPR;CPU;INV;EXPOR;IMP;PIB;AGRICUL;INDUSTRIA;CONSTRU;SERVI;IMPUESTOS
1995Q1;72.31978820396664;55.959660708;65.78461010824375;41.913656240475824;43.555346915625414;67.01601680466354;58.128039012;83.9855063368437;122.70911001;59.6513911145947;63.40772641258156
1995Q2;72.99791701231607;55.944056199;66.3156785878598;41.86521528216264;43.67673612330546;67.45778834705173;60.380869978;84.17679080401334;122.8279102;60.09685241639237;63.52779964842262
1995Q3;73.20959748482676;55.939605935;66.64401980409667;43.05474753216323;44.552181494074425;67.75651905272993;65.357436829;84.37618912918687;122.45143931;60.17023294483197;63.873924361369916
1995Q4;73.81572399626296;56.080229598;66.922858354493;43.70551436121194;44.97499610314708;68.2695577388664;66.969836469;85.00552012007759;122.27267682;60.56554927774138;64.96898044169697
1996Q1;73.84556734134655;56.02102770129886;67.20689820204684;45.29138182206309;45.6213350564684;68.66184218860786;72.1155788032636;85.49280685920803;122.19926984983135;60.767399266568404;64.54403589306264
1996Q2;74.74932280426869;56.120684616713525;67.34787377035778;45.875994465306576;46.450813875676936;69.13671374009247;75.85709313165606;85.87842736115354;121.3183531923699;61.114740540973564;65.35074297285092
1996Q3;75.42297462974176;56.40858237235592;68.470551932543;47.8348704525224;48.758638009765136;69.70385612521952;77.6153235491337;87.2355148968464;121.75260788266782;61.35727310165549;66.53839506253928
1996Q4;75.57186521867936;56.6881753850471;68.37315063080091;48.5719907418294;48.843927162546656;70.05060639177387;77.79817951255139;88.67788388970027;121.41761140729514;61.531376832716404;66.64296820251185
1997Q1;75.93413213028963;56.699271460071785;70.22980337547827;50.35565621922099;50.440285115065684;70.74920932160317;79.2255295872333;89.38977852239482;121.8336867158497;62.13005110611874;67.93871392250223
1997Q2;75.94223728255372;57.49178795068455;71.1009984198389;52.162979679245204;51.47588272985279;71.38725440783551;78.7438293000434;90.55529557365772;122.60038838249811;62.592559765377324;69.45784044499297
1997Q3;76.49237449247977;57.700483959879236;71.49291137675758;56.14341423609705;54.44403911933127;72.17970186368993;81.25150432453201;92.23364012747626;123.76242059601215;63.10775928455145;69.72509418506078
1997Q4;79.7486194145835;57.62387403245333;73.32516685687418;55.90232693002208;57.7646327615841;73.19353507010536;84.92092710047862;93.3561227030002;125.63125590846762;63.747576869240106;71.78576118084683
