_date_,FAG1F,FAG2F,FAG3F,FAG4F,FAG5F,FCON1F,FCON2F,FCON3F,FCON4F,FCON5F,FCP1F,FCP2F,FCP3F,FCP4F,FCP5F,FCP6F,FCP7F,FCPU1F,FCPU2F,FCPU3F,FEXP1F,FEXP2F,FEXP3F,FEXP4F,FEXP5F,FIMP1F,FIMP2F,FIMP3F,FIMP4F,FIMPU1F,FIMPU2F,FIMPU3F,FIMPU4F,FIND1F,FIND2F,FIND3F,FIND4F,FIND5F,FIND6F,FINV1F,FINV2F,FINV3F,FINV4F,FINV5F,FSER1F,FSER2F,FSER3F,FSER4F,FSER5F,FSER6F,f202004,f202003,fvirus
1997-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.720832,-2.256703,-0.903913,-0.134866,0.031843,-0.414509,0.007493,-0.011824,,,,,,,,,,,,,,,,,,0,0,0.0
1998-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.41383,-2.312162,-0.650002,-0.067085,0.052386,-0.436058,0.071591,-0.048494,,,,,,,,,,,,,,,,,,0,0,0.0
1998-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.382152,-2.498385,-0.848398,-0.040007,0.171054,-0.428858,0.143466,-0.0191,,,,,,,,,,,,,,,,,,0,0,0.0
1998-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.477034,-2.257845,-0.391164,0.240933,0.161334,-0.554386,0.045237,0.04212,,,,,,,,,,,,,,,,,,0,0,0.0
1998-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.136898,-0.653136,0.161272,-1.25268,0.123398,-0.662555,0.015841,-0.06187,,,,,,,,,,,,,,,,,,0,0,0.0
1998-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.201992,-0.303749,0.403449,-1.220962,0.005853,-0.750491,0.044509,0.01109,,,,,,,,,,,,,,,,,,0,0,0.0
1998-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.16601,-0.322275,1.040972,-1.1951,0.042667,-0.726034,0.031656,-0.043543,,,,,,,,,,,,,,,,,,0,0,0.0
1998-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.268783,-1.379349,-0.43392,-0.549259,0.05371,-0.69412,0.049088,-0.005753,,,,,,,,,,,,,,,,,,0,0,0.0
1998-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.499875,-1.67732,0.025968,-0.455497,0.059349,-0.703247,0.034082,-0.024006,,,,,,,,,,,,,,,,,,0,0,0.0
1998-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.849786,-1.342042,-0.437184,-0.913226,0.071441,-0.69938,0.054153,-0.02643,,,,,,,,,,,,,,,,,,0,0,0.0
1998-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.266113,-1.002917,-1.083576,-1.72792,0.085332,-0.70419,0.053832,-0.01243,,,,,,,,,,,,,,,,,,0,0,0.0
1998-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.684814,-1.402841,0.239624,-0.732082,0.111715,-0.711067,0.055299,-0.029025,,,,,,,,,,,,,,,,,,0,0,0.0
1998-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.106016,-1.436274,0.707443,-0.741331,0.108478,-0.715531,0.036065,-0.000859,,,,,,,,,,,,,,,,,,0,0,0.0
1999-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.242447,-0.960031,-0.257728,-1.034823,0.48309,-0.90546,0.56437,-0.356226,,,,,,,,,,,,,,,,,,0,0,0.0
1999-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.776418,-0.282428,-0.218062,-1.31106,0.467425,-1.079898,0.14053,0.531915,,,,,,,,,,,,,,,,,,0,0,0.0
1999-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.504357,-0.62226,0.2911,-0.493899,0.547403,-1.030505,-0.42875,-0.273189,,,,,,,,,,,,,,,,,,0,0,0.0
1999-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.525137,-1.019793,-0.207684,-0.039353,0.290122,-0.721522,0.020013,-0.044322,,,,,,,,,,,,,,,,,,0,0,0.0
1999-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.904945,-1.368113,-0.335436,0.465508,0.383729,-0.540092,-0.001595,0.005984,,,,,,,,,,,,,,,,,,0,0,0.0
1999-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.636484,-1.273854,-0.697536,0.448528,0.345438,-0.539755,-0.020585,-0.035702,,,,,,,,,,,,,,,,,,0,0,0.0
1999-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.711585,-1.160135,-0.924509,0.49148,0.303371,-0.543473,0.026958,-0.031008,,,,,,,,,,,,,,,,,,0,0,0.0
1999-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.958923,-0.765112,-0.92812,0.685746,0.300485,-0.538524,0.028998,-0.008978,,,,,,,,,,,,,,,,,,0,0,0.0
