_date_;CPR;CPU;INV;EXPOR;IMP;PIB;AGRICUL;INDUSTRIA;CONSTRU;SERVI;IMPUESTOS;uno;PCY_CPR;PCY_CPU;PCY_INV;PCY_EXPOR;PCY_IMP;PCY_PIB;PCY_AGRICUL;PCY_INDUSTRIA;PCY_CONSTRU;PCY_SERVI;PCY_IMPUESTOS
2007Q1;111.6054585593761;84.74971725848043;134.07853620942933;89.07565818351304;117.47063351160068;102.8842780577079;89.0751472799822;115.87005679291549;181.09736823614062;93.16136508411937;108.885414003091;1;3.833588809648414;4.893827823152663;5.402145510604761;8.68270035461376;10.312218284261165;3.7348551663259677;6.909793132171815;1.040182424589653;2.08622526879374;5.246006538485837;0.21353639706991334
2007Q2;112.5205896871803;86.00418615645283;134.9437113528292;89.88219290741921;118.52617043632891;103.78721058019572;91.65397214190861;116.67114955282224;182.02683400318645;94.18751446048194;108.61177098965484;1;3.596965717766487;5.337787582441611;4.765570035805333;7.2943385813359685;8.37597232225824;3.711829934247235;6.77942278274184;1.2318433132811668;1.5016633345431574;5.384564770586531;-0.3775403228069574
2007Q3;113.2780690210231;87.43894937410356;135.0449014280807;91.42760894911444;120.0081726152091;104.56526945595647;91.99217868117763;117.2246318233033;183.28548556272762;95.0836809408265;108.74246616025121;1;3.2698068750769638;5.699749262571485;3.649912168520042;9.639615687868485;9.393861541686066;3.5121517592046514;7.298663698858654;1.1028541618034682;1.2614002793477574;5.0504432215945805;-0.10654364198288135
2007Q4;114.3125650785409;88.01399336213024;135.60481984447205;91.08005615690489;120.22919779676295;105.20364595124371;92.90815472503128;117.32367601907359;182.32374667877053;96.02993257376512;108.9793511569571;1;3.2048894455056987;4.513492978529232;2.6765061298950066;5.160522417779001;5.070811379367912;3.1838160790204517;9.164216286483029;0.6376740731040442;-0.05418738914364507;4.815315584096225;-0.3012678599771168
2008Q1;114.2790605297381;89.44925419510649;133.58775460697655;91.88040055035643;119.7116505640216;105.40043743374679;89.4453064170821;116.17300659050632;181.2478977105973;96.6589906283834;109.93626116128357;1;2.395583517933031;5.545194826187827;-0.3660403941807555;3.1487192169437295;1.9077253483949397;2.4456208699132453;0.415558265580418;0.26145650220250616;0.08312074102612144;3.7543734369992254;0.9650945150125878
2008Q2;113.2295092959821;90.44566943106544;132.61597410930017;90.25379796325731;115.7483994920614;105.43753883294023;90.24781144728404;116.53753690324505;180.9663208481732;96.9286343989931;107.81621064507556;1;0.6300354546422637;5.164264058650558;-1.724969040938007;0.4134356804365691;-2.3435929247032417;1.5901075320540636;-1.5342059506678107;-0.11452072777999867;-0.582613635413054;2.910279514448;-0.732480777479505
2008Q3;111.5509536550062;91.12454574567482;128.45754284259357;91.31620108498237;111.468701711225;105.21454396487115;89.33649217569878;116.84598562940857;178.5948179402012;97.07805483238826;105.7656030166817;1;-1.5246687915349;4.215051070436138;-4.877902472308648;-0.12185363416217232;-7.1157411348682365;0.6209274956137989;-2.88686119140934;-0.3230090707091904;-2.559213899630408;2.0974933572490917;-2.737535066735186
2008Q4;109.7830590508801;92.32352891421883;122.82746429091173;84.79038020452029;103.07380267663315;103.58285534617502;88.19394264117402;111.53225530140931;175.31601180886264;96.66357056503918;101.7011516416779;1;-3.96238683345852;4.896420884298669;-9.422493660782061;-6.905656647322756;-14.268909245430972;-1.540622086253396;-5.074056306262165;-4.936276218214264;-3.8435667309177024;0.6598338396075931;-6.678512431953099
2009Q1;108.6580934186404;93.14814163307078;105.41050027017448;76.56113779523605;88.63573327508729;100.81295227317193;84.98436044958319;101.9588023100774;169.49301445287347;95.70434952938488;96.96860722876106;1;-4.9186325867939695;4.135179741014139;-21.092692529866454;-16.673047421821398;-25.958974872136576;-4.352434650433478;-4.987344944292083;-12.235376097764261;-6.485528056437451;-0.9876381832588654;-11.795611198290734
2009Q2;107.7456720523876;93.95412060888229;105.90869813146107;78.39392607200305;89.63099494521961;100.87896636727035;86.66249118249358;102.9277285690061;166.2073999475689;96.01134154204411;95.36783702537721;1;-4.843116673110126;3.8790703854437947;-20.13880767925239;-13.14057929848278;-22.5639444359082;-4.323481481194924;-3.972750371774636;-11.678476048055186;-8.15561748254071;-0.9463590017920631;-11.545920177697244
2009Q3;108.2779762929609;94.90664121665947;106.18311531407136;82.06328416943683;94.78364496092486;101.07776309635534;87.00357466479242;103.87263186283737;161.81651438625187;96.49016152613828;95.36783702537723;1;-2.9340648867670294;4.150468394696127;-17.339914056908555;-10.132831639518624;-14.968378113459213;-3.931757637895572;-2.611382486697811;-11.102952058376914;-9.394619478582634;-0.6055882632434506;-9.830952308440487
2009Q4;108.3207570026776;95.08284008366589;104.9466045567143;82.54984281787702;94.59127223542278;101.0532435756902;86.93535796833267;103.8165782776101;157.38939042965578;96.75665904871408;96.37807919641517;1;-1.3319924411331785;2.9887410088178523;-14.557704856502907;-2.642442905951048;-8.229569707272832;-2.442114346076707;-1.4270647565468697;-6.917888464595324;-10.225318950759199;0.09630151579418378;-5.234033596804711
2010Q1;108.9658139725638;94.82729371039335;102.52180609468793;83.33254561846996;94.97957451884926;100.9630702101652;86.9906050706507;105.90646519560119;143.44025108648466;97.19090321690146;99.30326013105953;1;0.28320076695786955;1.8026683601880977;-2.7404235518118436;8.844445130039924;7.157205124115595;0.14890739097341843;2.36072214988039;3.871821555453492;-15.37099534779507;1.5532770399950824;2.4076378624174
